,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,105.57,475.94,0.0,800,48
1,crps,crps,136.34,587.16,0.0,800,48
2,crps,dss,-977.47,-3529.16,0.0,800,48
3,crps,is1,560.09,2318.25,0.0,800,48
4,dss,sse,105.61,474.24,0.0,800,48
5,dss,crps,136.6,588.83,0.0,800,48
6,dss,dss,-990.01,-3564.24,0.0,800,48
7,dss,is1,563.12,2327.59,0.0,800,48
8,is1,sse,107.36,469.45,0.0,800,48
9,is1,crps,137.98,586.36,0.0,800,48
10,is1,dss,-960.75,-3607.72,0.0,800,48
11,is1,is1,558.03,2332.54,0.0,800,48
12,sse,sse,104.93,481.97,0.0,800,48
13,sse,crps,139.37,603.97,0.0,800,48
14,sse,dss,-934.2,-3403.09,0.0,800,48
15,sse,is1,572.15,2368.53,0.0,800,48
16,crps,sse,105.88,474.64,0.1,800,48
17,crps,crps,136.72,585.73,0.1,800,48
18,crps,dss,-973.06,-3545.53,0.1,800,48
19,crps,is1,562.3,2298.9,0.1,800,48
20,dss,sse,106.41,472.71,0.1,800,48
21,dss,crps,138.41,587.29,0.1,800,48
22,dss,dss,-967.34,-3570.09,0.1,800,48
23,dss,is1,567.72,2322.71,0.1,800,48
24,is1,sse,107.4,468.91,0.1,800,48
25,is1,crps,138.11,585.0,0.1,800,48
26,is1,dss,-960.25,-3607.89,0.1,800,48
27,is1,is1,558.97,2321.02,0.1,800,48
28,sse,sse,105.03,482.98,0.1,800,48
29,sse,crps,140.17,607.44,0.1,800,48
30,sse,dss,-932.34,-3394.49,0.1,800,48
31,sse,is1,576.79,2388.61,0.1,800,48
32,crps,sse,106.3,471.14,0.3,800,48
33,crps,crps,137.23,584.3,0.3,800,48
34,crps,dss,-970.22,-3559.47,0.3,800,48
35,crps,is1,563.21,2298.62,0.3,800,48
36,dss,sse,107.96,473.97,0.3,800,48
37,dss,crps,144.03,602.52,0.3,800,48
38,dss,dss,-951.63,-3552.12,0.3,800,48
39,dss,is1,592.25,2387.1,0.3,800,48
40,is1,sse,107.69,467.66,0.3,800,48
41,is1,crps,139.36,581.66,0.3,800,48
42,is1,dss,-955.09,-3622.27,0.3,800,48
43,is1,is1,564.84,2294.92,0.3,800,48
44,sse,sse,106.28,476.88,0.3,800,48
45,sse,crps,142.24,605.75,0.3,800,48
46,sse,dss,-918.74,-3403.87,0.3,800,48
47,sse,is1,581.72,2402.41,0.3,800,48
48,crps,sse,106.68,471.39,0.5,800,48
49,crps,crps,138.62,586.65,0.5,800,48
50,crps,dss,-965.17,-3560.37,0.5,800,48
51,crps,is1,568.15,2319.41,0.5,800,48
52,dss,sse,111.34,461.15,0.5,800,48
53,dss,crps,146.17,594.82,0.5,800,48
54,dss,dss,-927.5,-3649.06,0.5,800,48
55,dss,is1,595.91,2362.53,0.5,800,48
56,is1,sse,107.69,467.66,0.5,800,48
57,is1,crps,139.36,581.66,0.5,800,48
58,is1,dss,-955.09,-3622.27,0.5,800,48
59,is1,is1,564.84,2294.92,0.5,800,48
60,sse,sse,107.62,479.81,0.5,800,48
61,sse,crps,147.61,622.12,0.5,800,48
62,sse,dss,-905.34,-3374.67,0.5,800,48
63,sse,is1,604.89,2472.46,0.5,800,48
64,crps,sse,106.68,471.39,0.8,800,48
65,crps,crps,138.62,586.65,0.8,800,48
66,crps,dss,-965.17,-3560.37,0.8,800,48
67,crps,is1,568.15,2319.41,0.8,800,48
68,dss,sse,112.23,465.6,0.8,800,48
69,dss,crps,151.28,617.96,0.8,800,48
70,dss,dss,-878.87,-3404.82,0.8,800,48
71,dss,is1,614.21,2462.08,0.8,800,48
72,is1,sse,107.69,467.66,0.8,800,48
73,is1,crps,139.36,581.66,0.8,800,48
74,is1,dss,-955.09,-3622.27,0.8,800,48
75,is1,is1,564.84,2294.92,0.8,800,48
76,sse,sse,107.62,479.81,0.8,800,48
77,sse,crps,147.61,622.12,0.8,800,48
78,sse,dss,-905.34,-3374.67,0.8,800,48
79,sse,is1,604.89,2472.46,0.8,800,48
