,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,122.54,487.76,0.0,800,88
1,crps,crps,147.61,601.03,0.0,800,88
2,crps,dss,-907.69,-3409.6,0.0,800,88
3,crps,is1,574.3,2393.84,0.0,800,88
4,dss,sse,125.08,478.95,0.0,800,88
5,dss,crps,150.13,592.92,0.0,800,88
6,dss,dss,-918.34,-3397.5,0.0,800,88
7,dss,is1,588.31,2336.42,0.0,800,88
8,is1,sse,122.58,487.39,0.0,800,88
9,is1,crps,148.05,599.94,0.0,800,88
10,is1,dss,-908.58,-3405.95,0.0,800,88
11,is1,is1,575.37,2402.12,0.0,800,88
12,sse,sse,125.68,483.87,0.0,800,88
13,sse,crps,151.9,607.67,0.0,800,88
14,sse,dss,-883.16,-3311.3,0.0,800,88
15,sse,is1,592.5,2384.58,0.0,800,88
16,crps,sse,122.54,487.76,0.1,800,88
17,crps,crps,147.61,601.03,0.1,800,88
18,crps,dss,-907.69,-3409.6,0.1,800,88
19,crps,is1,574.3,2393.84,0.1,800,88
20,dss,sse,126.03,476.03,0.1,800,88
21,dss,crps,151.94,590.73,0.1,800,88
22,dss,dss,-908.9,-3426.68,0.1,800,88
23,dss,is1,592.75,2334.57,0.1,800,88
24,is1,sse,123.16,483.95,0.1,800,88
25,is1,crps,148.82,595.42,0.1,800,88
26,is1,dss,-902.77,-3440.37,0.1,800,88
27,is1,is1,576.23,2395.59,0.1,800,88
28,sse,sse,125.68,483.87,0.1,800,88
29,sse,crps,151.9,607.67,0.1,800,88
30,sse,dss,-883.16,-3311.3,0.1,800,88
31,sse,is1,592.5,2384.58,0.1,800,88
32,crps,sse,122.57,487.59,0.3,800,88
33,crps,crps,147.79,600.1,0.3,800,88
34,crps,dss,-907.45,-3411.36,0.3,800,88
35,crps,is1,574.55,2394.53,0.3,800,88
36,dss,sse,129.74,469.89,0.3,800,88
37,dss,crps,158.03,602.11,0.3,800,88
38,dss,dss,-864.36,-3494.91,0.3,800,88
39,dss,is1,620.04,2404.36,0.3,800,88
40,is1,sse,124.77,476.75,0.3,800,88
41,is1,crps,150.1,593.1,0.3,800,88
42,is1,dss,-897.38,-3458.76,0.3,800,88
43,is1,is1,578.11,2377.3,0.3,800,88
44,sse,sse,126.37,478.83,0.3,800,88
45,sse,crps,154.21,610.3,0.3,800,88
46,sse,dss,-844.54,-3310.83,0.3,800,88
47,sse,is1,602.4,2411.44,0.3,800,88
48,crps,sse,122.87,485.52,0.5,800,88
49,crps,crps,148.08,598.68,0.5,800,88
50,crps,dss,-901.78,-3449.29,0.5,800,88
51,crps,is1,576.28,2385.47,0.5,800,88
52,dss,sse,131.65,463.68,0.5,800,88
53,dss,crps,160.13,601.2,0.5,800,88
54,dss,dss,-843.93,-3604.36,0.5,800,88
55,dss,is1,631.28,2383.06,0.5,800,88
56,is1,sse,124.77,476.75,0.5,800,88
57,is1,crps,150.1,593.1,0.5,800,88
58,is1,dss,-897.38,-3458.76,0.5,800,88
59,is1,is1,578.11,2377.3,0.5,800,88
60,sse,sse,130.42,467.15,0.5,800,88
61,sse,crps,164.02,622.04,0.5,800,88
62,sse,dss,-779.68,-3269.11,0.5,800,88
63,sse,is1,647.21,2488.69,0.5,800,88
64,crps,sse,124.83,476.01,0.8,800,88
65,crps,crps,150.99,587.87,0.8,800,88
66,crps,dss,-881.94,-3531.34,0.8,800,88
67,crps,is1,590.09,2342.89,0.8,800,88
68,dss,sse,131.79,465.91,0.8,800,88
69,dss,crps,164.36,619.98,0.8,800,88
70,dss,dss,-792.28,-3374.28,0.8,800,88
71,dss,is1,649.57,2475.11,0.8,800,88
72,is1,sse,125.08,474.68,0.8,800,88
73,is1,crps,150.39,591.68,0.8,800,88
74,is1,dss,-891.71,-3496.69,0.8,800,88
75,is1,is1,579.84,2368.24,0.8,800,88
76,sse,sse,130.42,467.15,0.8,800,88
77,sse,crps,164.02,622.04,0.8,800,88
78,sse,dss,-779.68,-3269.11,0.8,800,88
79,sse,is1,647.21,2488.69,0.8,800,88
