,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,52.6,486.45,0.0,400,52
1,crps,crps,68.21,600.63,0.0,400,52
2,crps,dss,-495.3,-3494.94,0.0,400,52
3,crps,is1,266.87,2406.0,0.0,400,52
4,dss,sse,53.01,482.95,0.0,400,52
5,dss,crps,68.45,603.58,0.0,400,52
6,dss,dss,-500.61,-3524.18,0.0,400,52
7,dss,is1,268.11,2387.66,0.0,400,52
8,is1,sse,53.9,470.28,0.0,400,52
9,is1,crps,68.8,600.31,0.0,400,52
10,is1,dss,-495.54,-3524.64,0.0,400,52
11,is1,is1,264.41,2347.09,0.0,400,52
12,sse,sse,51.84,486.13,0.0,400,52
13,sse,crps,67.69,604.38,0.0,400,52
14,sse,dss,-503.66,-3509.02,0.0,400,52
15,sse,is1,270.88,2336.87,0.0,400,52
16,crps,sse,52.6,486.45,0.1,400,52
17,crps,crps,68.21,600.63,0.1,400,52
18,crps,dss,-495.3,-3494.94,0.1,400,52
19,crps,is1,266.87,2406.0,0.1,400,52
20,dss,sse,53.09,482.34,0.1,400,52
21,dss,crps,68.74,601.41,0.1,400,52
22,dss,dss,-499.79,-3530.32,0.1,400,52
23,dss,is1,269.58,2382.78,0.1,400,52
24,is1,sse,53.91,470.18,0.1,400,52
25,is1,crps,68.98,598.52,0.1,400,52
26,is1,dss,-495.4,-3525.55,0.1,400,52
27,is1,is1,264.93,2337.87,0.1,400,52
28,sse,sse,51.86,486.17,0.1,400,52
29,sse,crps,67.73,604.4,0.1,400,52
30,sse,dss,-503.42,-3508.56,0.1,400,52
31,sse,is1,271.04,2338.38,0.1,400,52
32,crps,sse,52.79,485.71,0.3,400,52
33,crps,crps,68.58,597.86,0.3,400,52
34,crps,dss,-492.53,-3494.63,0.3,400,52
35,crps,is1,268.87,2395.87,0.3,400,52
36,dss,sse,56.84,468.11,0.3,400,52
37,dss,crps,74.39,607.66,0.3,400,52
38,dss,dss,-464.89,-3578.79,0.3,400,52
39,dss,is1,297.16,2425.56,0.3,400,52
40,is1,sse,54.73,469.91,0.3,400,52
41,is1,crps,70.22,595.99,0.3,400,52
42,is1,dss,-490.11,-3589.72,0.3,400,52
43,is1,is1,269.3,2343.36,0.3,400,52
44,sse,sse,53.05,475.18,0.3,400,52
45,sse,crps,70.8,608.08,0.3,400,52
46,sse,dss,-462.03,-3292.45,0.3,400,52
47,sse,is1,276.61,2406.36,0.3,400,52
48,crps,sse,53.41,480.22,0.5,400,52
49,crps,crps,69.52,590.7,0.5,400,52
50,crps,dss,-481.33,-3533.88,0.5,400,52
51,crps,is1,275.17,2360.43,0.5,400,52
52,dss,sse,56.84,468.11,0.5,400,52
53,dss,crps,74.39,607.66,0.5,400,52
54,dss,dss,-464.89,-3578.79,0.5,400,52
55,dss,is1,297.16,2425.56,0.5,400,52
56,is1,sse,55.04,467.99,0.5,400,52
57,is1,crps,71.77,602.51,0.5,400,52
58,is1,dss,-467.5,-3464.03,0.5,400,52
59,is1,is1,276.28,2370.46,0.5,400,52
60,sse,sse,55.09,470.6,0.5,400,52
61,sse,crps,72.94,608.66,0.5,400,52
62,sse,dss,-451.42,-3311.35,0.5,400,52
63,sse,is1,280.69,2422.63,0.5,400,52
64,crps,sse,53.41,480.22,0.8,400,52
65,crps,crps,69.52,590.7,0.8,400,52
66,crps,dss,-481.33,-3533.88,0.8,400,52
67,crps,is1,275.17,2360.43,0.8,400,52
68,dss,sse,56.86,466.28,0.8,400,52
69,dss,crps,75.97,621.97,0.8,400,52
70,dss,dss,-443.22,-3389.09,0.8,400,52
71,dss,is1,299.25,2487.44,0.8,400,52
72,is1,sse,55.59,466.48,0.8,400,52
73,is1,crps,73.44,604.36,0.8,400,52
74,is1,dss,-445.77,-3347.77,0.8,400,52
75,is1,is1,283.87,2408.65,0.8,400,52
76,sse,sse,56.45,468.23,0.8,400,52
77,sse,crps,75.99,621.83,0.8,400,52
78,sse,dss,-437.26,-3330.28,0.8,400,52
79,sse,is1,298.7,2485.95,0.8,400,52
