,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,101.81,470.62,0.0,800,30
1,crps,crps,130.96,592.02,0.0,800,30
2,crps,dss,-1022.65,-3559.72,0.0,800,30
3,crps,is1,508.1,2347.92,0.0,800,30
4,dss,sse,100.54,471.83,0.0,800,30
5,dss,crps,130.67,590.55,0.0,800,30
6,dss,dss,-1060.51,-3526.33,0.0,800,30
7,dss,is1,511.66,2322.54,0.0,800,30
8,is1,sse,102.0,465.36,0.0,800,30
9,is1,crps,131.86,592.29,0.0,800,30
10,is1,dss,-1004.98,-3579.29,0.0,800,30
11,is1,is1,506.54,2364.13,0.0,800,30
12,sse,sse,99.67,474.02,0.0,800,30
13,sse,crps,131.96,599.38,0.0,800,30
14,sse,dss,-1031.34,-3418.84,0.0,800,30
15,sse,is1,514.15,2344.97,0.0,800,30
16,crps,sse,101.84,470.37,0.1,800,30
17,crps,crps,131.04,591.62,0.1,800,30
18,crps,dss,-1022.31,-3562.3,0.1,800,30
19,crps,is1,508.54,2349.23,0.1,800,30
20,dss,sse,102.52,464.24,0.1,800,30
21,dss,crps,133.81,585.5,0.1,800,30
22,dss,dss,-1037.0,-3637.84,0.1,800,30
23,dss,is1,520.34,2323.62,0.1,800,30
24,is1,sse,102.09,464.4,0.1,800,30
25,is1,crps,132.05,590.66,0.1,800,30
26,is1,dss,-1004.11,-3588.91,0.1,800,30
27,is1,is1,506.78,2361.65,0.1,800,30
28,sse,sse,99.67,474.02,0.1,800,30
29,sse,crps,131.96,599.38,0.1,800,30
30,sse,dss,-1031.34,-3418.84,0.1,800,30
31,sse,is1,514.15,2344.97,0.1,800,30
32,crps,sse,101.96,469.91,0.3,800,30
33,crps,crps,131.33,591.22,0.3,800,30
34,crps,dss,-1021.07,-3566.83,0.3,800,30
35,crps,is1,510.39,2344.5,0.3,800,30
36,dss,sse,104.34,465.08,0.3,800,30
37,dss,crps,139.74,599.97,0.3,800,30
38,dss,dss,-1018.75,-3631.75,0.3,800,30
39,dss,is1,549.62,2384.63,0.3,800,30
40,is1,sse,102.5,464.02,0.3,800,30
41,is1,crps,132.68,589.24,0.3,800,30
42,is1,dss,-999.67,-3586.43,0.3,800,30
43,is1,is1,507.93,2357.88,0.3,800,30
44,sse,sse,100.31,471.18,0.3,800,30
45,sse,crps,133.35,596.13,0.3,800,30
46,sse,dss,-1024.01,-3450.16,0.3,800,30
47,sse,is1,515.92,2350.43,0.3,800,30
48,crps,sse,102.53,465.14,0.5,800,30
49,crps,crps,132.32,584.11,0.5,800,30
50,crps,dss,-1015.22,-3621.84,0.5,800,30
51,crps,is1,513.44,2321.56,0.5,800,30
52,dss,sse,105.04,463.3,0.5,800,30
53,dss,crps,140.46,597.3,0.5,800,30
54,dss,dss,-986.74,-3652.6,0.5,800,30
55,dss,is1,552.4,2370.51,0.5,800,30
56,is1,sse,102.71,463.09,0.5,800,30
57,is1,crps,133.29,587.4,0.5,800,30
58,is1,dss,-997.52,-3594.41,0.5,800,30
59,is1,is1,512.54,2342.84,0.5,800,30
60,sse,sse,103.65,463.2,0.5,800,30
61,sse,crps,139.21,601.53,0.5,800,30
62,sse,dss,-953.52,-3452.24,0.5,800,30
63,sse,is1,539.47,2396.05,0.5,800,30
64,crps,sse,103.63,459.0,0.8,800,30
65,crps,crps,134.24,576.74,0.8,800,30
66,crps,dss,-1000.82,-3695.62,0.8,800,30
67,crps,is1,522.34,2276.42,0.8,800,30
68,dss,sse,105.24,466.79,0.8,800,30
69,dss,crps,144.91,618.65,0.8,800,30
70,dss,dss,-937.67,-3416.35,0.8,800,30
71,dss,is1,567.41,2472.56,0.8,800,30
72,is1,sse,102.71,463.09,0.8,800,30
73,is1,crps,133.29,587.4,0.8,800,30
74,is1,dss,-997.52,-3594.41,0.8,800,30
75,is1,is1,512.54,2342.84,0.8,800,30
76,sse,sse,103.65,463.2,0.8,800,30
77,sse,crps,139.21,601.53,0.8,800,30
78,sse,dss,-953.52,-3452.24,0.8,800,30
79,sse,is1,539.47,2396.05,0.8,800,30
