,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,98.06,752.35,0.0,200,71
1,crps,crps,56.71,505.32,0.0,200,71
2,crps,dss,-124.24,-564.52,0.0,200,71
3,crps,is1,698.23,5462.44,0.0,200,71
4,dss,sse,98.95,745.9,0.0,200,71
5,dss,crps,57.13,502.65,0.0,200,71
6,dss,dss,-126.88,-539.72,0.0,200,71
7,dss,is1,699.45,5433.22,0.0,200,71
8,is1,sse,88.64,732.0,0.0,200,71
9,is1,crps,53.13,493.4,0.0,200,71
10,is1,dss,-137.37,-610.33,0.0,200,71
11,is1,is1,684.3,5378.48,0.0,200,71
12,sse,sse,90.78,606.06,0.0,200,71
13,sse,crps,54.18,451.58,0.0,200,71
14,sse,dss,-146.47,-863.13,0.0,200,71
15,sse,is1,692.39,5265.73,0.0,200,71
16,crps,sse,99.29,744.53,0.1,200,71
17,crps,crps,57.57,500.28,0.1,200,71
18,crps,dss,-118.41,-657.63,0.1,200,71
19,crps,is1,700.94,5417.0,0.1,200,71
20,dss,sse,99.08,745.1,0.1,200,71
21,dss,crps,57.35,501.26,0.1,200,71
22,dss,dss,-125.62,-547.75,0.1,200,71
23,dss,is1,700.59,5423.96,0.1,200,71
24,is1,sse,116.02,924.11,0.1,200,71
25,is1,crps,60.45,531.14,0.1,200,71
26,is1,dss,55.94,594.93,0.1,200,71
27,is1,is1,690.8,5336.73,0.1,200,71
28,sse,sse,93.64,596.09,0.1,200,71
29,sse,crps,55.79,445.52,0.1,200,71
30,sse,dss,-119.12,-788.24,0.1,200,71
31,sse,is1,698.92,5199.44,0.1,200,71
32,crps,sse,218.35,1652.52,0.3,200,71
33,crps,crps,103.6,835.51,0.3,200,71
34,crps,dss,90.5,862.59,0.3,200,71
35,crps,is1,814.29,6143.6,0.3,200,71
36,dss,sse,218.35,1652.52,0.3,200,71
37,dss,crps,103.6,835.51,0.3,200,71
38,dss,dss,90.5,862.59,0.3,200,71
39,dss,is1,814.29,6143.6,0.3,200,71
40,is1,sse,228.73,1844.5,0.3,200,71
41,is1,crps,104.27,873.92,0.3,200,71
42,is1,dss,226.56,1822.82,0.3,200,71
43,is1,is1,782.26,6073.32,0.3,200,71
44,sse,sse,218.35,1652.52,0.3,200,71
45,sse,crps,103.6,835.51,0.3,200,71
46,sse,dss,90.5,862.59,0.3,200,71
47,sse,is1,814.29,6143.6,0.3,200,71
48,crps,sse,218.35,1652.52,0.5,200,71
49,crps,crps,103.6,835.51,0.5,200,71
50,crps,dss,90.5,862.59,0.5,200,71
51,crps,is1,814.29,6143.6,0.5,200,71
52,dss,sse,218.35,1652.52,0.5,200,71
53,dss,crps,103.6,835.51,0.5,200,71
54,dss,dss,90.5,862.59,0.5,200,71
55,dss,is1,814.29,6143.6,0.5,200,71
56,is1,sse,228.73,1844.5,0.5,200,71
57,is1,crps,104.27,873.92,0.5,200,71
58,is1,dss,226.56,1822.82,0.5,200,71
59,is1,is1,782.26,6073.32,0.5,200,71
60,sse,sse,218.35,1652.52,0.5,200,71
61,sse,crps,103.6,835.51,0.5,200,71
62,sse,dss,90.5,862.59,0.5,200,71
63,sse,is1,814.29,6143.6,0.5,200,71
64,crps,sse,218.35,1652.52,0.8,200,71
65,crps,crps,103.6,835.51,0.8,200,71
66,crps,dss,90.5,862.59,0.8,200,71
67,crps,is1,814.29,6143.6,0.8,200,71
68,dss,sse,218.35,1652.52,0.8,200,71
69,dss,crps,103.6,835.51,0.8,200,71
70,dss,dss,90.5,862.59,0.8,200,71
71,dss,is1,814.29,6143.6,0.8,200,71
72,is1,sse,228.73,1844.5,0.8,200,71
73,is1,crps,104.27,873.92,0.8,200,71
74,is1,dss,226.56,1822.82,0.8,200,71
75,is1,is1,782.26,6073.32,0.8,200,71
76,sse,sse,218.35,1652.52,0.8,200,71
77,sse,crps,103.6,835.51,0.8,200,71
78,sse,dss,90.5,862.59,0.8,200,71
79,sse,is1,814.29,6143.6,0.8,200,71
