,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,456.77,386.53,0.0,1600,70
1,crps,crps,410.18,387.67,0.0,1600,70
2,crps,dss,-1054.81,-1232.98,0.0,1600,70
3,crps,is1,5140.15,5061.45,0.0,1600,70
4,dss,sse,457.52,384.16,0.0,1600,70
5,dss,crps,410.68,386.36,0.0,1600,70
6,dss,dss,-1055.1,-1231.13,0.0,1600,70
7,dss,is1,5141.49,5061.88,0.0,1600,70
8,is1,sse,477.94,415.52,0.0,1600,70
9,is1,crps,417.68,398.71,0.0,1600,70
10,is1,dss,-911.55,-1098.99,0.0,1600,70
11,is1,is1,5138.16,5079.37,0.0,1600,70
12,sse,sse,456.73,388.32,0.0,1600,70
13,sse,crps,410.45,387.73,0.0,1600,70
14,sse,dss,-1049.47,-1224.27,0.0,1600,70
15,sse,is1,5143.84,5061.37,0.0,1600,70
16,crps,sse,488.2,409.58,0.1,1600,70
17,crps,crps,423.3,394.23,0.1,1600,70
18,crps,dss,-812.49,-1031.98,0.1,1600,70
19,crps,is1,5156.72,5063.3,0.1,1600,70
20,dss,sse,462.19,384.29,0.1,1600,70
21,dss,crps,414.14,385.12,0.1,1600,70
22,dss,dss,-1024.19,-1255.56,0.1,1600,70
23,dss,is1,5154.72,5061.71,0.1,1600,70
24,is1,sse,488.2,409.58,0.1,1600,70
25,is1,crps,423.3,394.23,0.1,1600,70
26,is1,dss,-812.49,-1031.98,0.1,1600,70
27,is1,is1,5156.72,5063.3,0.1,1600,70
28,sse,sse,488.2,409.58,0.1,1600,70
29,sse,crps,423.3,394.23,0.1,1600,70
30,sse,dss,-812.49,-1031.98,0.1,1600,70
31,sse,is1,5156.72,5063.3,0.1,1600,70
32,crps,sse,1623.54,1590.46,0.3,1600,70
33,crps,crps,833.23,820.5,0.3,1600,70
34,crps,dss,847.39,796.72,0.3,1600,70
35,crps,is1,6143.82,6102.86,0.3,1600,70
36,dss,sse,1623.54,1590.46,0.3,1600,70
37,dss,crps,833.23,820.5,0.3,1600,70
38,dss,dss,847.39,796.72,0.3,1600,70
39,dss,is1,6143.82,6102.86,0.3,1600,70
40,is1,sse,1623.54,1590.46,0.3,1600,70
41,is1,crps,833.23,820.5,0.3,1600,70
42,is1,dss,847.39,796.72,0.3,1600,70
43,is1,is1,6143.82,6102.86,0.3,1600,70
44,sse,sse,1623.54,1590.46,0.3,1600,70
45,sse,crps,833.23,820.5,0.3,1600,70
46,sse,dss,847.39,796.72,0.3,1600,70
47,sse,is1,6143.82,6102.86,0.3,1600,70
48,crps,sse,1623.54,1590.46,0.5,1600,70
49,crps,crps,833.23,820.5,0.5,1600,70
50,crps,dss,847.39,796.72,0.5,1600,70
51,crps,is1,6143.82,6102.86,0.5,1600,70
52,dss,sse,1623.54,1590.46,0.5,1600,70
53,dss,crps,833.23,820.5,0.5,1600,70
54,dss,dss,847.39,796.72,0.5,1600,70
55,dss,is1,6143.82,6102.86,0.5,1600,70
56,is1,sse,1623.54,1590.46,0.5,1600,70
57,is1,crps,833.23,820.5,0.5,1600,70
58,is1,dss,847.39,796.72,0.5,1600,70
59,is1,is1,6143.82,6102.86,0.5,1600,70
60,sse,sse,1623.54,1590.46,0.5,1600,70
61,sse,crps,833.23,820.5,0.5,1600,70
62,sse,dss,847.39,796.72,0.5,1600,70
63,sse,is1,6143.82,6102.86,0.5,1600,70
64,crps,sse,1623.54,1590.46,0.8,1600,70
65,crps,crps,833.23,820.5,0.8,1600,70
66,crps,dss,847.39,796.72,0.8,1600,70
67,crps,is1,6143.82,6102.86,0.8,1600,70
68,dss,sse,1623.54,1590.46,0.8,1600,70
69,dss,crps,833.23,820.5,0.8,1600,70
70,dss,dss,847.39,796.72,0.8,1600,70
71,dss,is1,6143.82,6102.86,0.8,1600,70
72,is1,sse,1623.54,1590.46,0.8,1600,70
73,is1,crps,833.23,820.5,0.8,1600,70
74,is1,dss,847.39,796.72,0.8,1600,70
75,is1,is1,6143.82,6102.86,0.8,1600,70
76,sse,sse,1623.54,1590.46,0.8,1600,70
77,sse,crps,833.23,820.5,0.8,1600,70
78,sse,dss,847.39,796.72,0.8,1600,70
79,sse,is1,6143.82,6102.86,0.8,1600,70
