,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,29.52,504.79,0.0,200,77
1,crps,crps,36.02,615.22,0.0,200,77
2,crps,dss,-231.09,-3492.21,0.0,200,77
3,crps,is1,147.54,2381.77,0.0,200,77
4,dss,sse,29.51,505.22,0.0,200,77
5,dss,crps,35.88,617.27,0.0,200,77
6,dss,dss,-234.43,-3487.82,0.0,200,77
7,dss,is1,147.28,2388.37,0.0,200,77
8,is1,sse,29.86,510.01,0.0,200,77
9,is1,crps,36.75,620.19,0.0,200,77
10,is1,dss,-228.72,-3374.34,0.0,200,77
11,is1,is1,143.23,2424.18,0.0,200,77
12,sse,sse,29.18,521.12,0.0,200,77
13,sse,crps,36.54,632.72,0.0,200,77
14,sse,dss,-234.07,-3204.37,0.0,200,77
15,sse,is1,146.32,2415.88,0.0,200,77
16,crps,sse,29.52,504.79,0.1,200,77
17,crps,crps,36.02,615.22,0.1,200,77
18,crps,dss,-231.09,-3492.21,0.1,200,77
19,crps,is1,147.54,2381.77,0.1,200,77
20,dss,sse,29.52,505.01,0.1,200,77
21,dss,crps,35.92,616.51,0.1,200,77
22,dss,dss,-234.33,-3489.95,0.1,200,77
23,dss,is1,147.7,2385.04,0.1,200,77
24,is1,sse,29.86,510.01,0.1,200,77
25,is1,crps,36.75,620.19,0.1,200,77
26,is1,dss,-228.72,-3374.34,0.1,200,77
27,is1,is1,143.23,2424.18,0.1,200,77
28,sse,sse,29.18,521.12,0.1,200,77
29,sse,crps,36.54,632.72,0.1,200,77
30,sse,dss,-234.07,-3204.37,0.1,200,77
31,sse,is1,146.32,2415.88,0.1,200,77
32,crps,sse,29.53,504.89,0.3,200,77
33,crps,crps,36.07,614.33,0.3,200,77
34,crps,dss,-231.03,-3491.12,0.3,200,77
35,crps,is1,147.84,2376.83,0.3,200,77
36,dss,sse,30.4,503.29,0.3,200,77
37,dss,crps,38.05,626.73,0.3,200,77
38,dss,dss,-225.58,-3516.74,0.3,200,77
39,dss,is1,157.86,2429.97,0.3,200,77
40,is1,sse,29.94,507.52,0.3,200,77
41,is1,crps,36.98,615.46,0.3,200,77
42,is1,dss,-227.92,-3399.21,0.3,200,77
43,is1,is1,144.56,2412.52,0.3,200,77
44,sse,sse,29.47,518.52,0.3,200,77
45,sse,crps,37.78,624.44,0.3,200,77
46,sse,dss,-222.18,-3228.91,0.3,200,77
47,sse,is1,153.0,2361.15,0.3,200,77
48,crps,sse,29.66,502.42,0.5,200,77
49,crps,crps,36.22,611.52,0.5,200,77
50,crps,dss,-229.68,-3515.92,0.5,200,77
51,crps,is1,148.24,2370.73,0.5,200,77
52,dss,sse,30.45,502.47,0.5,200,77
53,dss,crps,38.2,625.5,0.5,200,77
54,dss,dss,-221.81,-3506.58,0.5,200,77
55,dss,is1,158.11,2440.29,0.5,200,77
56,is1,sse,31.63,468.08,0.5,200,77
57,is1,crps,38.45,596.28,0.5,200,77
58,is1,dss,-208.59,-3515.37,0.5,200,77
59,is1,is1,148.6,2343.07,0.5,200,77
60,sse,sse,29.47,518.52,0.5,200,77
61,sse,crps,37.78,624.44,0.5,200,77
62,sse,dss,-222.18,-3228.91,0.5,200,77
63,sse,is1,153.0,2361.15,0.5,200,77
64,crps,sse,30.02,498.29,0.8,200,77
65,crps,crps,36.76,605.2,0.8,200,77
66,crps,dss,-226.09,-3548.42,0.8,200,77
67,crps,is1,150.5,2335.87,0.8,200,77
68,dss,sse,34.15,463.64,0.8,200,77
69,dss,crps,41.76,619.87,0.8,200,77
70,dss,dss,-193.79,-3433.73,0.8,200,77
71,dss,is1,161.54,2471.41,0.8,200,77
72,is1,sse,33.72,459.45,0.8,200,77
73,is1,crps,40.32,599.57,0.8,200,77
74,is1,dss,-198.07,-3475.57,0.8,200,77
75,is1,is1,153.94,2366.99,0.8,200,77
76,sse,sse,30.05,514.42,0.8,200,77
77,sse,crps,39.4,636.27,0.8,200,77
78,sse,dss,-208.41,-3247.4,0.8,200,77
79,sse,is1,158.1,2461.91,0.8,200,77
