,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,112.23,478.8,0.0,800,9
1,crps,crps,137.19,591.3,0.0,800,9
2,crps,dss,-949.77,-3537.85,0.0,800,9
3,crps,is1,561.85,2299.48,0.0,800,9
4,dss,sse,110.91,484.86,0.0,800,9
5,dss,crps,136.68,594.92,0.0,800,9
6,dss,dss,-990.51,-3483.19,0.0,800,9
7,dss,is1,561.22,2306.82,0.0,800,9
8,is1,sse,114.09,469.77,0.0,800,9
9,is1,crps,137.87,588.47,0.0,800,9
10,is1,dss,-951.19,-3596.94,0.0,800,9
11,is1,is1,555.61,2335.13,0.0,800,9
12,sse,sse,110.81,484.22,0.0,800,9
13,sse,crps,136.82,594.43,0.0,800,9
14,sse,dss,-955.39,-3530.89,0.0,800,9
15,sse,is1,561.04,2306.26,0.0,800,9
16,crps,sse,112.23,478.8,0.1,800,9
17,crps,crps,137.19,591.3,0.1,800,9
18,crps,dss,-949.77,-3537.85,0.1,800,9
19,crps,is1,561.85,2299.48,0.1,800,9
20,dss,sse,111.03,484.13,0.1,800,9
21,dss,crps,137.01,594.83,0.1,800,9
22,dss,dss,-989.36,-3491.19,0.1,800,9
23,dss,is1,563.34,2312.36,0.1,800,9
24,is1,sse,114.09,469.77,0.1,800,9
25,is1,crps,137.87,588.47,0.1,800,9
26,is1,dss,-951.19,-3596.94,0.1,800,9
27,is1,is1,555.61,2335.13,0.1,800,9
28,sse,sse,110.87,484.2,0.1,800,9
29,sse,crps,137.08,595.12,0.1,800,9
30,sse,dss,-954.78,-3531.04,0.1,800,9
31,sse,is1,562.93,2312.79,0.1,800,9
32,crps,sse,112.51,477.55,0.3,800,9
33,crps,crps,137.69,588.76,0.3,800,9
34,crps,dss,-946.01,-3539.42,0.3,800,9
35,crps,is1,563.98,2289.56,0.3,800,9
36,dss,sse,116.39,461.87,0.3,800,9
37,dss,crps,140.56,580.5,0.3,800,9
38,dss,dss,-932.02,-3621.42,0.3,800,9
39,dss,is1,568.73,2288.92,0.3,800,9
40,is1,sse,114.12,470.26,0.3,800,9
41,is1,crps,138.0,588.62,0.3,800,9
42,is1,dss,-950.88,-3592.06,0.3,800,9
43,is1,is1,556.15,2338.15,0.3,800,9
44,sse,sse,111.04,486.27,0.3,800,9
45,sse,crps,138.79,599.06,0.3,800,9
46,sse,dss,-925.27,-3445.16,0.3,800,9
47,sse,is1,569.53,2345.84,0.3,800,9
48,crps,sse,112.61,477.15,0.5,800,9
49,crps,crps,137.98,589.02,0.5,800,9
50,crps,dss,-944.06,-3564.63,0.5,800,9
51,crps,is1,565.89,2291.53,0.5,800,9
52,dss,sse,119.02,464.03,0.5,800,9
53,dss,crps,147.66,598.9,0.5,800,9
54,dss,dss,-877.95,-3534.7,0.5,800,9
55,dss,is1,601.81,2386.27,0.5,800,9
56,is1,sse,114.7,468.46,0.5,800,9
57,is1,crps,138.89,584.11,0.5,800,9
58,is1,dss,-943.08,-3597.99,0.5,800,9
59,is1,is1,561.31,2307.91,0.5,800,9
60,sse,sse,111.09,485.56,0.5,800,9
61,sse,crps,138.86,598.28,0.5,800,9
62,sse,dss,-924.73,-3453.01,0.5,800,9
63,sse,is1,569.76,2344.85,0.5,800,9
64,crps,sse,113.16,476.24,0.8,800,9
65,crps,crps,138.71,587.91,0.8,800,9
66,crps,dss,-938.56,-3573.71,0.8,800,9
67,crps,is1,567.71,2287.45,0.8,800,9
68,dss,sse,119.36,467.85,0.8,800,9
69,dss,crps,153.27,621.03,0.8,800,9
70,dss,dss,-837.59,-3313.92,0.8,800,9
71,dss,is1,622.89,2480.87,0.8,800,9
72,is1,sse,115.69,464.45,0.8,800,9
73,is1,crps,139.86,579.95,0.8,800,9
74,is1,dss,-933.74,-3627.75,0.8,800,9
75,is1,is1,565.34,2285.7,0.8,800,9
76,sse,sse,112.0,483.71,0.8,800,9
77,sse,crps,139.84,596.11,0.8,800,9
78,sse,dss,-915.63,-3471.45,0.8,800,9
79,sse,is1,570.67,2344.03,0.8,800,9
