,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,65.88,481.84,0.0,400,31
1,crps,crps,74.75,601.54,0.0,400,31
2,crps,dss,-445.89,-3542.12,0.0,400,31
3,crps,is1,303.59,2323.7,0.0,400,31
4,dss,sse,66.34,478.01,0.0,400,31
5,dss,crps,74.95,599.66,0.0,400,31
6,dss,dss,-450.7,-3544.26,0.0,400,31
7,dss,is1,306.19,2316.62,0.0,400,31
8,is1,sse,66.03,481.27,0.0,400,31
9,is1,crps,74.92,600.55,0.0,400,31
10,is1,dss,-445.26,-3521.28,0.0,400,31
11,is1,is1,302.42,2335.99,0.0,400,31
12,sse,sse,66.28,477.89,0.0,400,31
13,sse,crps,75.53,598.27,0.0,400,31
14,sse,dss,-439.79,-3491.95,0.0,400,31
15,sse,is1,304.75,2332.31,0.0,400,31
16,crps,sse,65.88,481.84,0.1,400,31
17,crps,crps,74.75,601.54,0.1,400,31
18,crps,dss,-445.89,-3542.12,0.1,400,31
19,crps,is1,303.59,2323.7,0.1,400,31
20,dss,sse,66.7,473.88,0.1,400,31
21,dss,crps,75.86,591.78,0.1,400,31
22,dss,dss,-446.59,-3581.22,0.1,400,31
23,dss,is1,310.6,2298.13,0.1,400,31
24,is1,sse,66.03,481.27,0.1,400,31
25,is1,crps,74.92,600.55,0.1,400,31
26,is1,dss,-445.26,-3521.28,0.1,400,31
27,is1,is1,302.42,2335.99,0.1,400,31
28,sse,sse,66.29,477.93,0.1,400,31
29,sse,crps,75.56,598.31,0.1,400,31
30,sse,dss,-439.74,-3491.56,0.1,400,31
31,sse,is1,304.81,2332.74,0.1,400,31
32,crps,sse,65.89,481.64,0.3,400,31
33,crps,crps,74.77,600.94,0.3,400,31
34,crps,dss,-445.8,-3544.13,0.3,400,31
35,crps,is1,303.78,2321.46,0.3,400,31
36,dss,sse,67.39,465.38,0.3,400,31
37,dss,crps,76.52,584.3,0.3,400,31
38,dss,dss,-444.81,-3599.4,0.3,400,31
39,dss,is1,311.52,2293.01,0.3,400,31
40,is1,sse,66.39,481.32,0.3,400,31
41,is1,crps,75.18,599.92,0.3,400,31
42,is1,dss,-430.38,-3518.08,0.3,400,31
43,is1,is1,302.98,2340.04,0.3,400,31
44,sse,sse,66.29,477.93,0.3,400,31
45,sse,crps,75.56,598.31,0.3,400,31
46,sse,dss,-439.74,-3491.56,0.3,400,31
47,sse,is1,304.81,2332.74,0.3,400,31
48,crps,sse,65.94,481.48,0.5,400,31
49,crps,crps,74.85,600.51,0.5,400,31
50,crps,dss,-445.3,-3545.71,0.5,400,31
51,crps,is1,303.89,2317.21,0.5,400,31
52,dss,sse,68.52,468.89,0.5,400,31
53,dss,crps,79.21,604.44,0.5,400,31
54,dss,dss,-433.56,-3564.34,0.5,400,31
55,dss,is1,325.47,2392.52,0.5,400,31
56,is1,sse,66.48,480.02,0.5,400,31
57,is1,crps,75.37,597.9,0.5,400,31
58,is1,dss,-429.44,-3530.6,0.5,400,31
59,is1,is1,303.54,2343.83,0.5,400,31
60,sse,sse,68.02,466.82,0.5,400,31
61,sse,crps,80.3,605.09,0.5,400,31
62,sse,dss,-381.12,-3386.27,0.5,400,31
63,sse,is1,323.47,2379.59,0.5,400,31
64,crps,sse,67.03,476.03,0.8,400,31
65,crps,crps,76.28,590.99,0.8,400,31
66,crps,dss,-420.36,-3569.64,0.8,400,31
67,crps,is1,311.74,2285.52,0.8,400,31
68,dss,sse,69.35,467.34,0.8,400,31
69,dss,crps,83.45,620.96,0.8,400,31
70,dss,dss,-367.71,-3379.03,0.8,400,31
71,dss,is1,339.63,2471.57,0.8,400,31
72,is1,sse,66.49,479.68,0.8,400,31
73,is1,crps,75.53,596.92,0.8,400,31
74,is1,dss,-429.3,-3533.88,0.8,400,31
75,is1,is1,304.76,2332.64,0.8,400,31
76,sse,sse,68.23,463.84,0.8,400,31
77,sse,crps,80.76,600.83,0.8,400,31
78,sse,dss,-378.96,-3414.09,0.8,400,31
79,sse,is1,325.68,2372.06,0.8,400,31
