,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,112.02,558.2,0.0,400,8
1,crps,crps,100.02,450.14,0.0,400,8
2,crps,dss,-291.34,-869.43,0.0,400,8
3,crps,is1,1248.33,5229.25,0.0,400,8
4,dss,sse,129.8,623.58,0.0,400,8
5,dss,crps,107.1,467.86,0.0,400,8
6,dss,dss,-255.67,-627.62,0.0,400,8
7,dss,is1,1281.35,5335.39,0.0,400,8
8,is1,sse,118.8,499.45,0.0,400,8
9,is1,crps,103.72,427.06,0.0,400,8
10,is1,dss,-191.34,-518.12,0.0,400,8
11,is1,is1,1245.16,5158.78,0.0,400,8
12,sse,sse,127.96,632.71,0.0,400,8
13,sse,crps,105.38,471.71,0.0,400,8
14,sse,dss,-258.69,-612.25,0.0,400,8
15,sse,is1,1274.99,5368.95,0.0,400,8
16,crps,sse,122.15,596.85,0.1,400,8
17,crps,crps,106.36,457.05,0.1,400,8
18,crps,dss,-205.48,-500.75,0.1,400,8
19,crps,is1,1268.47,5161.75,0.1,400,8
20,dss,sse,132.17,617.5,0.1,400,8
21,dss,crps,109.87,457.2,0.1,400,8
22,dss,dss,-235.58,-728.8,0.1,400,8
23,dss,is1,1294.43,5304.22,0.1,400,8
24,is1,sse,122.4,497.81,0.1,400,8
25,is1,crps,107.1,417.49,0.1,400,8
26,is1,dss,-105.94,-206.6,0.1,400,8
27,is1,is1,1262.46,5087.29,0.1,400,8
28,sse,sse,132.17,617.5,0.1,400,8
29,sse,crps,109.87,457.2,0.1,400,8
30,sse,dss,-235.58,-728.8,0.1,400,8
31,sse,is1,1294.43,5304.22,0.1,400,8
32,crps,sse,417.85,1802.17,0.3,400,8
33,crps,crps,209.46,870.82,0.3,400,8
34,crps,dss,217.13,999.1,0.3,400,8
35,crps,is1,1552.35,6263.43,0.3,400,8
36,dss,sse,417.85,1802.17,0.3,400,8
37,dss,crps,209.46,870.82,0.3,400,8
38,dss,dss,217.13,999.1,0.3,400,8
39,dss,is1,1552.35,6263.43,0.3,400,8
40,is1,sse,470.86,1762.53,0.3,400,8
41,is1,crps,220.47,855.76,0.3,400,8
42,is1,dss,464.72,1771.31,0.3,400,8
43,is1,is1,1517.28,6063.02,0.3,400,8
44,sse,sse,417.85,1802.17,0.3,400,8
45,sse,crps,209.46,870.82,0.3,400,8
46,sse,dss,217.13,999.1,0.3,400,8
47,sse,is1,1552.35,6263.43,0.3,400,8
48,crps,sse,417.85,1802.17,0.5,400,8
49,crps,crps,209.46,870.82,0.5,400,8
50,crps,dss,217.13,999.1,0.5,400,8
51,crps,is1,1552.35,6263.43,0.5,400,8
52,dss,sse,417.85,1802.17,0.5,400,8
53,dss,crps,209.46,870.82,0.5,400,8
54,dss,dss,217.13,999.1,0.5,400,8
55,dss,is1,1552.35,6263.43,0.5,400,8
56,is1,sse,470.86,1762.53,0.5,400,8
57,is1,crps,220.47,855.76,0.5,400,8
58,is1,dss,464.72,1771.31,0.5,400,8
59,is1,is1,1517.28,6063.02,0.5,400,8
60,sse,sse,417.85,1802.17,0.5,400,8
61,sse,crps,209.46,870.82,0.5,400,8
62,sse,dss,217.13,999.1,0.5,400,8
63,sse,is1,1552.35,6263.43,0.5,400,8
64,crps,sse,417.85,1802.17,0.8,400,8
65,crps,crps,209.46,870.82,0.8,400,8
66,crps,dss,217.13,999.1,0.8,400,8
67,crps,is1,1552.35,6263.43,0.8,400,8
68,dss,sse,417.85,1802.17,0.8,400,8
69,dss,crps,209.46,870.82,0.8,400,8
70,dss,dss,217.13,999.1,0.8,400,8
71,dss,is1,1552.35,6263.43,0.8,400,8
72,is1,sse,470.86,1762.53,0.8,400,8
73,is1,crps,220.47,855.76,0.8,400,8
74,is1,dss,464.72,1771.31,0.8,400,8
75,is1,is1,1517.28,6063.02,0.8,400,8
76,sse,sse,417.85,1802.17,0.8,400,8
77,sse,crps,209.46,870.82,0.8,400,8
78,sse,dss,217.13,999.1,0.8,400,8
79,sse,is1,1552.35,6263.43,0.8,400,8
