,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,414.84,418.67,0.0,1600,9
1,crps,crps,397.04,401.28,0.0,1600,9
2,crps,dss,-1122.23,-1157.37,0.0,1600,9
3,crps,is1,4991.31,5086.79,0.0,1600,9
4,dss,sse,415.09,419.15,0.0,1600,9
5,dss,crps,397.5,401.43,0.0,1600,9
6,dss,dss,-1124.77,-1149.83,0.0,1600,9
7,dss,is1,4994.06,5090.73,0.0,1600,9
8,is1,sse,417.23,438.07,0.0,1600,9
9,is1,crps,397.71,408.27,0.0,1600,9
10,is1,dss,-1011.12,-886.25,0.0,1600,9
11,is1,is1,4985.53,5093.17,0.0,1600,9
12,sse,sse,411.92,417.81,0.0,1600,9
13,sse,crps,396.89,400.02,0.0,1600,9
14,sse,dss,-1127.89,-1135.95,0.0,1600,9
15,sse,is1,4995.41,5086.38,0.0,1600,9
16,crps,sse,427.12,438.78,0.1,1600,9
17,crps,crps,403.02,406.06,0.1,1600,9
18,crps,dss,-757.83,-664.98,0.1,1600,9
19,crps,is1,5001.04,5080.24,0.1,1600,9
20,dss,sse,416.93,416.81,0.1,1600,9
21,dss,crps,399.82,398.2,0.1,1600,9
22,dss,dss,-1105.09,-1173.93,0.1,1600,9
23,dss,is1,5000.16,5080.62,0.1,1600,9
24,is1,sse,498.08,508.9,0.1,1600,9
25,is1,crps,428.25,430.94,0.1,1600,9
26,is1,dss,-477.04,-486.43,0.1,1600,9
27,is1,is1,5017.76,5105.93,0.1,1600,9
28,sse,sse,453.17,443.2,0.1,1600,9
29,sse,crps,414.43,406.2,0.1,1600,9
30,sse,dss,-739.95,-798.15,0.1,1600,9
31,sse,is1,5075.46,5144.99,0.1,1600,9
32,crps,sse,1483.98,1491.37,0.3,1600,9
33,crps,crps,799.42,797.63,0.3,1600,9
34,crps,dss,978.74,945.07,0.3,1600,9
35,crps,is1,5956.86,6018.24,0.3,1600,9
36,dss,sse,485.64,506.26,0.3,1600,9
37,dss,crps,424.65,431.62,0.3,1600,9
38,dss,dss,-874.01,-764.39,0.3,1600,9
39,dss,is1,5096.91,5186.44,0.3,1600,9
40,is1,sse,498.08,508.9,0.3,1600,9
41,is1,crps,428.25,430.94,0.3,1600,9
42,is1,dss,-477.04,-486.43,0.3,1600,9
43,is1,is1,5017.76,5105.93,0.3,1600,9
44,sse,sse,1483.98,1491.37,0.3,1600,9
45,sse,crps,799.42,797.63,0.3,1600,9
46,sse,dss,978.74,945.07,0.3,1600,9
47,sse,is1,5956.86,6018.24,0.3,1600,9
48,crps,sse,1483.98,1491.37,0.5,1600,9
49,crps,crps,799.42,797.63,0.5,1600,9
50,crps,dss,978.74,945.07,0.5,1600,9
51,crps,is1,5956.86,6018.24,0.5,1600,9
52,dss,sse,1483.98,1491.37,0.5,1600,9
53,dss,crps,799.42,797.63,0.5,1600,9
54,dss,dss,978.74,945.07,0.5,1600,9
55,dss,is1,5956.86,6018.24,0.5,1600,9
56,is1,sse,1483.98,1491.37,0.5,1600,9
57,is1,crps,799.42,797.63,0.5,1600,9
58,is1,dss,978.74,945.07,0.5,1600,9
59,is1,is1,5956.86,6018.24,0.5,1600,9
60,sse,sse,1483.98,1491.37,0.5,1600,9
61,sse,crps,799.42,797.63,0.5,1600,9
62,sse,dss,978.74,945.07,0.5,1600,9
63,sse,is1,5956.86,6018.24,0.5,1600,9
64,crps,sse,1483.98,1491.37,0.8,1600,9
65,crps,crps,799.42,797.63,0.8,1600,9
66,crps,dss,978.74,945.07,0.8,1600,9
67,crps,is1,5956.86,6018.24,0.8,1600,9
68,dss,sse,1483.98,1491.37,0.8,1600,9
69,dss,crps,799.42,797.63,0.8,1600,9
70,dss,dss,978.74,945.07,0.8,1600,9
71,dss,is1,5956.86,6018.24,0.8,1600,9
72,is1,sse,1483.98,1491.37,0.8,1600,9
73,is1,crps,799.42,797.63,0.8,1600,9
74,is1,dss,978.74,945.07,0.8,1600,9
75,is1,is1,5956.86,6018.24,0.8,1600,9
76,sse,sse,1483.98,1491.37,0.8,1600,9
77,sse,crps,799.42,797.63,0.8,1600,9
78,sse,dss,978.74,945.07,0.8,1600,9
79,sse,is1,5956.86,6018.24,0.8,1600,9
