,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,32.11,517.48,0.0,200,55
1,crps,crps,34.05,624.37,0.0,200,55
2,crps,dss,-255.48,-3125.75,0.0,200,55
3,crps,is1,136.54,2482.49,0.0,200,55
4,dss,sse,32.67,508.5,0.0,200,55
5,dss,crps,34.34,617.05,0.0,200,55
6,dss,dss,-254.65,-3166.2,0.0,200,55
7,dss,is1,138.09,2517.82,0.0,200,55
8,is1,sse,32.72,504.17,0.0,200,55
9,is1,crps,34.64,615.12,0.0,200,55
10,is1,dss,-255.21,-3189.75,0.0,200,55
11,is1,is1,134.12,2432.56,0.0,200,55
12,sse,sse,32.09,511.67,0.0,200,55
13,sse,crps,33.7,621.83,0.0,200,55
14,sse,dss,-255.82,-3160.45,0.0,200,55
15,sse,is1,130.79,2492.31,0.0,200,55
16,crps,sse,32.11,517.48,0.1,200,55
17,crps,crps,34.05,624.37,0.1,200,55
18,crps,dss,-255.48,-3125.75,0.1,200,55
19,crps,is1,136.54,2482.49,0.1,200,55
20,dss,sse,33.47,510.54,0.1,200,55
21,dss,crps,36.79,631.58,0.1,200,55
22,dss,dss,-246.47,-3119.53,0.1,200,55
23,dss,is1,149.03,2581.84,0.1,200,55
24,is1,sse,32.72,504.17,0.1,200,55
25,is1,crps,34.64,615.12,0.1,200,55
26,is1,dss,-255.21,-3189.75,0.1,200,55
27,is1,is1,134.12,2432.56,0.1,200,55
28,sse,sse,32.13,510.24,0.1,200,55
29,sse,crps,33.8,619.65,0.1,200,55
30,sse,dss,-255.49,-3174.8,0.1,200,55
31,sse,is1,131.53,2485.43,0.1,200,55
32,crps,sse,32.15,517.17,0.3,200,55
33,crps,crps,34.15,623.66,0.3,200,55
34,crps,dss,-255.15,-3128.85,0.3,200,55
35,crps,is1,137.36,2477.6,0.3,200,55
36,dss,sse,33.94,502.44,0.3,200,55
37,dss,crps,37.27,625.18,0.3,200,55
38,dss,dss,-242.55,-3145.58,0.3,200,55
39,dss,is1,149.88,2539.58,0.3,200,55
40,is1,sse,32.72,504.17,0.3,200,55
41,is1,crps,34.64,615.12,0.3,200,55
42,is1,dss,-255.21,-3189.75,0.3,200,55
43,is1,is1,134.12,2432.56,0.3,200,55
44,sse,sse,33.21,513.64,0.3,200,55
45,sse,crps,38.15,648.14,0.3,200,55
46,sse,dss,-222.88,-2864.1,0.3,200,55
47,sse,is1,151.11,2661.77,0.3,200,55
48,crps,sse,32.27,520.61,0.5,200,55
49,crps,crps,34.37,628.56,0.5,200,55
50,crps,dss,-253.85,-3068.14,0.5,200,55
51,crps,is1,137.57,2490.03,0.5,200,55
52,dss,sse,35.45,469.25,0.5,200,55
53,dss,crps,39.08,626.5,0.5,200,55
54,dss,dss,-204.23,-3195.54,0.5,200,55
55,dss,is1,156.41,2513.64,0.5,200,55
56,is1,sse,32.79,505.07,0.5,200,55
57,is1,crps,35.19,618.92,0.5,200,55
58,is1,dss,-251.84,-3157.64,0.5,200,55
59,is1,is1,135.85,2460.04,0.5,200,55
60,sse,sse,33.48,510.89,0.5,200,55
61,sse,crps,38.82,645.44,0.5,200,55
62,sse,dss,-211.06,-2864.56,0.5,200,55
63,sse,is1,155.24,2652.92,0.5,200,55
64,crps,sse,32.61,516.54,0.8,200,55
65,crps,crps,34.83,622.11,0.8,200,55
66,crps,dss,-250.43,-3108.92,0.8,200,55
67,crps,is1,138.81,2462.26,0.8,200,55
68,dss,sse,35.45,469.25,0.8,200,55
69,dss,crps,39.08,626.5,0.8,200,55
70,dss,dss,-204.23,-3195.54,0.8,200,55
71,dss,is1,156.41,2513.64,0.8,200,55
72,is1,sse,33.18,500.31,0.8,200,55
73,is1,crps,35.87,609.66,0.8,200,55
74,is1,dss,-244.58,-3318.6,0.8,200,55
75,is1,is1,139.26,2420.88,0.8,200,55
76,sse,sse,33.48,510.89,0.8,200,55
77,sse,crps,38.82,645.44,0.8,200,55
78,sse,dss,-211.06,-2864.56,0.8,200,55
79,sse,is1,155.24,2652.92,0.8,200,55
