,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,83.8,686.9,0.0,200,40
1,crps,crps,58.0,490.4,0.0,200,40
2,crps,dss,-89.04,-529.11,0.0,200,40
3,crps,is1,650.82,5309.83,0.0,200,40
4,dss,sse,88.08,670.18,0.0,200,40
5,dss,crps,59.35,485.47,0.0,200,40
6,dss,dss,-97.14,-636.33,0.0,200,40
7,dss,is1,665.07,5419.02,0.0,200,40
8,is1,sse,114.82,953.47,0.0,200,40
9,is1,crps,66.14,573.04,0.0,200,40
10,is1,dss,-60.97,-13.11,0.0,200,40
11,is1,is1,647.06,5340.31,0.0,200,40
12,sse,sse,87.14,681.57,0.0,200,40
13,sse,crps,59.64,488.74,0.0,200,40
14,sse,dss,-78.37,-513.13,0.0,200,40
15,sse,is1,667.2,5404.32,0.0,200,40
16,crps,sse,85.4,692.24,0.1,200,40
17,crps,crps,59.58,486.74,0.1,200,40
18,crps,dss,-76.24,-471.15,0.1,200,40
19,crps,is1,655.01,5270.21,0.1,200,40
20,dss,sse,88.48,665.09,0.1,200,40
21,dss,crps,60.39,477.0,0.1,200,40
22,dss,dss,-91.21,-708.91,0.1,200,40
23,dss,is1,670.19,5396.27,0.1,200,40
24,is1,sse,142.42,1037.15,0.1,200,40
25,is1,crps,74.44,577.86,0.1,200,40
26,is1,dss,81.42,783.87,0.1,200,40
27,is1,is1,656.86,5282.29,0.1,200,40
28,sse,sse,185.13,1570.12,0.1,200,40
29,sse,crps,98.72,821.04,0.1,200,40
30,sse,dss,88.43,781.81,0.1,200,40
31,sse,is1,763.07,6111.54,0.1,200,40
32,crps,sse,185.13,1570.12,0.3,200,40
33,crps,crps,98.72,821.04,0.3,200,40
34,crps,dss,88.43,781.81,0.3,200,40
35,crps,is1,763.07,6111.54,0.3,200,40
36,dss,sse,185.13,1570.12,0.3,200,40
37,dss,crps,98.72,821.04,0.3,200,40
38,dss,dss,88.43,781.81,0.3,200,40
39,dss,is1,763.07,6111.54,0.3,200,40
40,is1,sse,235.73,1863.11,0.3,200,40
41,is1,crps,110.53,882.68,0.3,200,40
42,is1,dss,229.91,1879.4,0.3,200,40
43,is1,is1,754.33,6095.32,0.3,200,40
44,sse,sse,185.13,1570.12,0.3,200,40
45,sse,crps,98.72,821.04,0.3,200,40
46,sse,dss,88.43,781.81,0.3,200,40
47,sse,is1,763.07,6111.54,0.3,200,40
48,crps,sse,185.13,1570.12,0.5,200,40
49,crps,crps,98.72,821.04,0.5,200,40
50,crps,dss,88.43,781.81,0.5,200,40
51,crps,is1,763.07,6111.54,0.5,200,40
52,dss,sse,185.13,1570.12,0.5,200,40
53,dss,crps,98.72,821.04,0.5,200,40
54,dss,dss,88.43,781.81,0.5,200,40
55,dss,is1,763.07,6111.54,0.5,200,40
56,is1,sse,235.73,1863.11,0.5,200,40
57,is1,crps,110.53,882.68,0.5,200,40
58,is1,dss,229.91,1879.4,0.5,200,40
59,is1,is1,754.33,6095.32,0.5,200,40
60,sse,sse,185.13,1570.12,0.5,200,40
61,sse,crps,98.72,821.04,0.5,200,40
62,sse,dss,88.43,781.81,0.5,200,40
63,sse,is1,763.07,6111.54,0.5,200,40
64,crps,sse,185.13,1570.12,0.8,200,40
65,crps,crps,98.72,821.04,0.8,200,40
66,crps,dss,88.43,781.81,0.8,200,40
67,crps,is1,763.07,6111.54,0.8,200,40
68,dss,sse,185.13,1570.12,0.8,200,40
69,dss,crps,98.72,821.04,0.8,200,40
70,dss,dss,88.43,781.81,0.8,200,40
71,dss,is1,763.07,6111.54,0.8,200,40
72,is1,sse,235.73,1863.11,0.8,200,40
73,is1,crps,110.53,882.68,0.8,200,40
74,is1,dss,229.91,1879.4,0.8,200,40
75,is1,is1,754.33,6095.32,0.8,200,40
76,sse,sse,185.13,1570.12,0.8,200,40
77,sse,crps,98.72,821.04,0.8,200,40
78,sse,dss,88.43,781.81,0.8,200,40
79,sse,is1,763.07,6111.54,0.8,200,40
