,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,49.0,530.08,0.0,400,97
1,crps,crps,66.39,630.54,0.0,400,97
2,crps,dss,-534.38,-3080.66,0.0,400,97
3,crps,is1,274.29,2408.85,0.0,400,97
4,dss,sse,48.56,533.06,0.0,400,97
5,dss,crps,66.25,634.91,0.0,400,97
6,dss,dss,-539.21,-3025.22,0.0,400,97
7,dss,is1,273.54,2447.03,0.0,400,97
8,is1,sse,50.17,515.66,0.0,400,97
9,is1,crps,66.99,626.96,0.0,400,97
10,is1,dss,-529.98,-3270.34,0.0,400,97
11,is1,is1,271.96,2453.43,0.0,400,97
12,sse,sse,48.38,522.63,0.0,400,97
13,sse,crps,66.22,629.51,0.0,400,97
14,sse,dss,-527.23,-3166.36,0.0,400,97
15,sse,is1,281.45,2430.57,0.0,400,97
16,crps,sse,49.0,530.08,0.1,400,97
17,crps,crps,66.39,630.54,0.1,400,97
18,crps,dss,-534.38,-3080.66,0.1,400,97
19,crps,is1,274.29,2408.85,0.1,400,97
20,dss,sse,49.05,529.67,0.1,400,97
21,dss,crps,67.65,636.03,0.1,400,97
22,dss,dss,-534.36,-3059.12,0.1,400,97
23,dss,is1,280.7,2451.21,0.1,400,97
24,is1,sse,50.28,513.72,0.1,400,97
25,is1,crps,67.21,624.16,0.1,400,97
26,is1,dss,-528.88,-3289.69,0.1,400,97
27,is1,is1,273.14,2442.47,0.1,400,97
28,sse,sse,48.38,522.63,0.1,400,97
29,sse,crps,66.22,629.51,0.1,400,97
30,sse,dss,-527.23,-3166.36,0.1,400,97
31,sse,is1,281.45,2430.57,0.1,400,97
32,crps,sse,49.06,530.54,0.3,400,97
33,crps,crps,66.61,630.37,0.3,400,97
34,crps,dss,-533.75,-3076.0,0.3,400,97
35,crps,is1,275.96,2409.61,0.3,400,97
36,dss,sse,49.37,525.76,0.3,400,97
37,dss,crps,68.09,630.65,0.3,400,97
38,dss,dss,-531.17,-3098.23,0.3,400,97
39,dss,is1,281.39,2451.77,0.3,400,97
40,is1,sse,50.28,513.72,0.3,400,97
41,is1,crps,67.21,624.16,0.3,400,97
42,is1,dss,-528.88,-3289.69,0.3,400,97
43,is1,is1,273.14,2442.47,0.3,400,97
44,sse,sse,48.44,519.52,0.3,400,97
45,sse,crps,66.81,633.46,0.3,400,97
46,sse,dss,-523.49,-3064.02,0.3,400,97
47,sse,is1,283.17,2469.64,0.3,400,97
48,crps,sse,49.06,530.54,0.5,400,97
49,crps,crps,66.61,630.37,0.5,400,97
50,crps,dss,-533.75,-3076.0,0.5,400,97
51,crps,is1,275.96,2409.61,0.5,400,97
52,dss,sse,55.27,466.14,0.5,400,97
53,dss,crps,73.72,600.44,0.5,400,97
54,dss,dss,-488.72,-3571.75,0.5,400,97
55,dss,is1,299.31,2388.4,0.5,400,97
56,is1,sse,50.36,511.75,0.5,400,97
57,is1,crps,67.33,621.83,0.5,400,97
58,is1,dss,-528.03,-3309.38,0.5,400,97
59,is1,is1,273.57,2443.13,0.5,400,97
60,sse,sse,49.07,513.87,0.5,400,97
61,sse,crps,67.85,627.59,0.5,400,97
62,sse,dss,-496.17,-3071.48,0.5,400,97
63,sse,is1,284.87,2447.04,0.5,400,97
64,crps,sse,50.64,513.26,0.8,400,97
65,crps,crps,68.5,611.08,0.8,400,97
66,crps,dss,-513.33,-3233.12,0.8,400,97
67,crps,is1,285.42,2352.25,0.8,400,97
68,dss,sse,55.27,466.14,0.8,400,97
69,dss,crps,73.72,600.44,0.8,400,97
70,dss,dss,-488.72,-3571.75,0.8,400,97
71,dss,is1,299.31,2388.4,0.8,400,97
72,is1,sse,50.8,506.67,0.8,400,97
73,is1,crps,68.15,615.06,0.8,400,97
74,is1,dss,-523.61,-3360.26,0.8,400,97
75,is1,is1,276.24,2412.26,0.8,400,97
76,sse,sse,49.68,508.54,0.8,400,97
77,sse,crps,68.68,620.57,0.8,400,97
78,sse,dss,-490.01,-3124.77,0.8,400,97
79,sse,is1,287.54,2435.84,0.8,400,97
