,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,21.99,495.84,0.0,200,36
1,crps,crps,31.16,615.37,0.0,200,36
2,crps,dss,-284.26,-3271.93,0.0,200,36
3,crps,is1,121.46,2444.32,0.0,200,36
4,dss,sse,22.51,494.33,0.0,200,36
5,dss,crps,31.31,618.71,0.0,200,36
6,dss,dss,-283.81,-3258.47,0.0,200,36
7,dss,is1,122.49,2456.91,0.0,200,36
8,is1,sse,22.29,492.29,0.0,200,36
9,is1,crps,31.92,621.77,0.0,200,36
10,is1,dss,-275.89,-3154.95,0.0,200,36
11,is1,is1,121.97,2504.8,0.0,200,36
12,sse,sse,21.91,502.07,0.0,200,36
13,sse,crps,31.6,622.08,0.0,200,36
14,sse,dss,-280.44,-3171.2,0.0,200,36
15,sse,is1,122.54,2494.21,0.0,200,36
16,crps,sse,21.99,495.84,0.1,200,36
17,crps,crps,31.16,615.37,0.1,200,36
18,crps,dss,-284.26,-3271.93,0.1,200,36
19,crps,is1,121.46,2444.32,0.1,200,36
20,dss,sse,22.54,492.85,0.1,200,36
21,dss,crps,31.39,616.26,0.1,200,36
22,dss,dss,-283.49,-3273.18,0.1,200,36
23,dss,is1,122.57,2451.48,0.1,200,36
24,is1,sse,22.29,492.29,0.1,200,36
25,is1,crps,31.92,621.77,0.1,200,36
26,is1,dss,-275.89,-3154.95,0.1,200,36
27,is1,is1,121.97,2504.8,0.1,200,36
28,sse,sse,21.91,502.07,0.1,200,36
29,sse,crps,31.6,622.08,0.1,200,36
30,sse,dss,-280.44,-3171.2,0.1,200,36
31,sse,is1,122.54,2494.21,0.1,200,36
32,crps,sse,21.99,495.88,0.3,200,36
33,crps,crps,31.21,615.17,0.3,200,36
34,crps,dss,-284.22,-3271.57,0.3,200,36
35,crps,is1,121.52,2442.99,0.3,200,36
36,dss,sse,22.56,492.33,0.3,200,36
37,dss,crps,31.5,614.9,0.3,200,36
38,dss,dss,-282.96,-3246.77,0.3,200,36
39,dss,is1,122.57,2449.08,0.3,200,36
40,is1,sse,22.29,492.29,0.3,200,36
41,is1,crps,31.92,621.77,0.3,200,36
42,is1,dss,-275.89,-3154.95,0.3,200,36
43,is1,is1,121.97,2504.8,0.3,200,36
44,sse,sse,21.94,500.72,0.3,200,36
45,sse,crps,31.68,619.99,0.3,200,36
46,sse,dss,-280.15,-3184.64,0.3,200,36
47,sse,is1,122.57,2487.32,0.3,200,36
48,crps,sse,21.99,495.88,0.5,200,36
49,crps,crps,31.21,615.17,0.5,200,36
50,crps,dss,-284.22,-3271.57,0.5,200,36
51,crps,is1,121.52,2442.99,0.5,200,36
52,dss,sse,23.12,487.08,0.5,200,36
53,dss,crps,31.99,608.97,0.5,200,36
54,dss,dss,-279.14,-3287.71,0.5,200,36
55,dss,is1,124.43,2448.18,0.5,200,36
56,is1,sse,22.29,492.35,0.5,200,36
57,is1,crps,31.96,621.67,0.5,200,36
58,is1,dss,-275.88,-3154.35,0.5,200,36
59,is1,is1,122.09,2502.45,0.5,200,36
60,sse,sse,21.94,500.72,0.5,200,36
61,sse,crps,31.68,619.99,0.5,200,36
62,sse,dss,-280.15,-3184.64,0.5,200,36
63,sse,is1,122.57,2487.32,0.5,200,36
64,crps,sse,22.21,493.91,0.8,200,36
65,crps,crps,31.54,611.57,0.8,200,36
66,crps,dss,-279.31,-3303.09,0.8,200,36
67,crps,is1,123.01,2435.07,0.8,200,36
68,dss,sse,23.47,471.49,0.8,200,36
69,dss,crps,32.57,604.21,0.8,200,36
70,dss,dss,-272.29,-3264.76,0.8,200,36
71,dss,is1,124.65,2433.17,0.8,200,36
72,is1,sse,22.29,492.35,0.8,200,36
73,is1,crps,31.96,621.67,0.8,200,36
74,is1,dss,-275.88,-3154.35,0.8,200,36
75,is1,is1,122.09,2502.45,0.8,200,36
76,sse,sse,22.0,501.0,0.8,200,36
77,sse,crps,31.83,619.23,0.8,200,36
78,sse,dss,-278.68,-3189.11,0.8,200,36
79,sse,is1,123.0,2486.44,0.8,200,36
