,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,111.63,420.85,0.0,400,73
1,crps,crps,100.18,407.96,0.0,400,73
2,crps,dss,-250.29,-847.78,0.0,400,73
3,crps,is1,1218.58,5131.86,0.0,400,73
4,dss,sse,112.16,418.19,0.0,400,73
5,dss,crps,100.46,405.34,0.0,400,73
6,dss,dss,-250.44,-873.29,0.0,400,73
7,dss,is1,1219.5,5124.71,0.0,400,73
8,is1,sse,113.75,410.41,0.0,400,73
9,is1,crps,100.98,403.66,0.0,400,73
10,is1,dss,-178.55,-794.59,0.0,400,73
11,is1,is1,1217.9,5134.85,0.0,400,73
12,sse,sse,111.63,420.85,0.0,400,73
13,sse,crps,100.18,407.96,0.0,400,73
14,sse,dss,-250.29,-847.78,0.0,400,73
15,sse,is1,1218.58,5131.86,0.0,400,73
16,crps,sse,122.86,444.01,0.1,400,73
17,crps,crps,105.36,410.99,0.1,400,73
18,crps,dss,-79.91,-582.8,0.1,400,73
19,crps,is1,1230.44,5089.09,0.1,400,73
20,dss,sse,114.91,405.46,0.1,400,73
21,dss,crps,102.36,397.7,0.1,400,73
22,dss,dss,-229.27,-1024.11,0.1,400,73
23,dss,is1,1229.76,5086.78,0.1,400,73
24,is1,sse,122.86,444.01,0.1,400,73
25,is1,crps,105.36,410.99,0.1,400,73
26,is1,dss,-79.91,-582.8,0.1,400,73
27,is1,is1,1230.44,5089.09,0.1,400,73
28,sse,sse,122.86,444.01,0.1,400,73
29,sse,crps,105.36,410.99,0.1,400,73
30,sse,dss,-79.91,-582.8,0.1,400,73
31,sse,is1,1230.44,5089.09,0.1,400,73
32,crps,sse,385.91,1468.26,0.3,400,73
33,crps,crps,203.95,792.74,0.3,400,73
34,crps,dss,319.48,945.79,0.3,400,73
35,crps,is1,1478.99,6014.87,0.3,400,73
36,dss,sse,384.55,1475.38,0.3,400,73
37,dss,crps,203.51,795.24,0.3,400,73
38,dss,dss,218.9,846.32,0.3,400,73
39,dss,is1,1478.87,6016.34,0.3,400,73
40,is1,sse,385.91,1468.26,0.3,400,73
41,is1,crps,203.95,792.74,0.3,400,73
42,is1,dss,319.48,945.79,0.3,400,73
43,is1,is1,1478.99,6014.87,0.3,400,73
44,sse,sse,385.91,1468.26,0.3,400,73
45,sse,crps,203.95,792.74,0.3,400,73
46,sse,dss,319.48,945.79,0.3,400,73
47,sse,is1,1478.99,6014.87,0.3,400,73
48,crps,sse,385.91,1468.26,0.5,400,73
49,crps,crps,203.95,792.74,0.5,400,73
50,crps,dss,319.48,945.79,0.5,400,73
51,crps,is1,1478.99,6014.87,0.5,400,73
52,dss,sse,384.55,1475.38,0.5,400,73
53,dss,crps,203.51,795.24,0.5,400,73
54,dss,dss,218.9,846.32,0.5,400,73
55,dss,is1,1478.87,6016.34,0.5,400,73
56,is1,sse,385.91,1468.26,0.5,400,73
57,is1,crps,203.95,792.74,0.5,400,73
58,is1,dss,319.48,945.79,0.5,400,73
59,is1,is1,1478.99,6014.87,0.5,400,73
60,sse,sse,385.91,1468.26,0.5,400,73
61,sse,crps,203.95,792.74,0.5,400,73
62,sse,dss,319.48,945.79,0.5,400,73
63,sse,is1,1478.99,6014.87,0.5,400,73
64,crps,sse,385.91,1468.26,0.8,400,73
65,crps,crps,203.95,792.74,0.8,400,73
66,crps,dss,319.48,945.79,0.8,400,73
67,crps,is1,1478.99,6014.87,0.8,400,73
68,dss,sse,384.55,1475.38,0.8,400,73
69,dss,crps,203.51,795.24,0.8,400,73
70,dss,dss,218.9,846.32,0.8,400,73
71,dss,is1,1478.87,6016.34,0.8,400,73
72,is1,sse,385.91,1468.26,0.8,400,73
73,is1,crps,203.95,792.74,0.8,400,73
74,is1,dss,319.48,945.79,0.8,400,73
75,is1,is1,1478.99,6014.87,0.8,400,73
76,sse,sse,385.91,1468.26,0.8,400,73
77,sse,crps,203.95,792.74,0.8,400,73
78,sse,dss,319.48,945.79,0.8,400,73
79,sse,is1,1478.99,6014.87,0.8,400,73
