,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,57.47,480.01,0.0,400,58
1,crps,crps,68.33,599.85,0.0,400,58
2,crps,dss,-522.21,-3451.89,0.0,400,58
3,crps,is1,259.05,2412.32,0.0,400,58
4,dss,sse,57.11,486.2,0.0,400,58
5,dss,crps,68.62,603.92,0.0,400,58
6,dss,dss,-527.39,-3412.28,0.0,400,58
7,dss,is1,260.64,2396.3,0.0,400,58
8,is1,sse,58.05,482.39,0.0,400,58
9,is1,crps,68.99,602.26,0.0,400,58
10,is1,dss,-514.31,-3469.38,0.0,400,58
11,is1,is1,258.54,2398.68,0.0,400,58
12,sse,sse,57.58,483.7,0.0,400,58
13,sse,crps,69.22,603.59,0.0,400,58
14,sse,dss,-517.43,-3444.12,0.0,400,58
15,sse,is1,260.58,2400.69,0.0,400,58
16,crps,sse,57.47,480.01,0.1,400,58
17,crps,crps,68.33,599.85,0.1,400,58
18,crps,dss,-522.21,-3451.89,0.1,400,58
19,crps,is1,259.05,2412.32,0.1,400,58
20,dss,sse,58.14,482.09,0.1,400,58
21,dss,crps,71.34,609.32,0.1,400,58
22,dss,dss,-516.78,-3455.53,0.1,400,58
23,dss,is1,276.32,2426.21,0.1,400,58
24,is1,sse,58.54,477.9,0.1,400,58
25,is1,crps,69.62,597.68,0.1,400,58
26,is1,dss,-509.41,-3514.28,0.1,400,58
27,is1,is1,261.65,2377.36,0.1,400,58
28,sse,sse,57.58,483.7,0.1,400,58
29,sse,crps,69.22,603.59,0.1,400,58
30,sse,dss,-517.43,-3444.12,0.1,400,58
31,sse,is1,260.58,2400.69,0.1,400,58
32,crps,sse,57.63,478.57,0.3,400,58
33,crps,crps,68.75,596.66,0.3,400,58
34,crps,dss,-520.36,-3458.81,0.3,400,58
35,crps,is1,260.77,2401.34,0.3,400,58
36,dss,sse,60.22,468.06,0.3,400,58
37,dss,crps,73.21,603.26,0.3,400,58
38,dss,dss,-501.59,-3520.06,0.3,400,58
39,dss,is1,281.41,2402.06,0.3,400,58
40,is1,sse,59.42,464.74,0.3,400,58
41,is1,crps,70.56,586.68,0.3,400,58
42,is1,dss,-505.62,-3560.02,0.3,400,58
43,is1,is1,265.93,2324.1,0.3,400,58
44,sse,sse,59.84,471.87,0.3,400,58
45,sse,crps,75.23,620.31,0.3,400,58
46,sse,dss,-429.91,-3309.14,0.3,400,58
47,sse,is1,289.72,2482.44,0.3,400,58
48,crps,sse,57.92,478.44,0.5,400,58
49,crps,crps,69.29,595.81,0.5,400,58
50,crps,dss,-517.38,-3459.77,0.5,400,58
51,crps,is1,262.42,2403.72,0.5,400,58
52,dss,sse,60.22,468.06,0.5,400,58
53,dss,crps,73.21,603.26,0.5,400,58
54,dss,dss,-501.59,-3520.06,0.5,400,58
55,dss,is1,281.41,2402.06,0.5,400,58
56,is1,sse,59.96,465.6,0.5,400,58
57,is1,crps,71.23,587.36,0.5,400,58
58,is1,dss,-500.29,-3551.41,0.5,400,58
59,is1,is1,268.68,2330.12,0.5,400,58
60,sse,sse,59.84,471.87,0.5,400,58
61,sse,crps,75.23,620.31,0.5,400,58
62,sse,dss,-429.91,-3309.14,0.5,400,58
63,sse,is1,289.72,2482.44,0.5,400,58
64,crps,sse,58.38,476.83,0.8,400,58
65,crps,crps,69.69,594.71,0.8,400,58
66,crps,dss,-512.81,-3475.88,0.8,400,58
67,crps,is1,263.67,2403.08,0.8,400,58
68,dss,sse,60.22,468.06,0.8,400,58
69,dss,crps,73.21,603.26,0.8,400,58
70,dss,dss,-501.59,-3520.06,0.8,400,58
71,dss,is1,281.41,2402.06,0.8,400,58
72,is1,sse,59.96,465.6,0.8,400,58
73,is1,crps,71.23,587.36,0.8,400,58
74,is1,dss,-500.29,-3551.41,0.8,400,58
75,is1,is1,268.68,2330.12,0.8,400,58
76,sse,sse,60.46,471.93,0.8,400,58
77,sse,crps,76.09,624.36,0.8,400,58
78,sse,dss,-423.7,-3308.57,0.8,400,58
79,sse,is1,293.13,2499.91,0.8,400,58
