,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,61.05,492.17,0.0,400,43
1,crps,crps,73.28,602.4,0.0,400,43
2,crps,dss,-461.14,-3379.64,0.0,400,43
3,crps,is1,290.18,2405.78,0.0,400,43
4,dss,sse,61.52,494.16,0.0,400,43
5,dss,crps,73.95,601.01,0.0,400,43
6,dss,dss,-465.95,-3424.42,0.0,400,43
7,dss,is1,292.37,2371.16,0.0,400,43
8,is1,sse,61.84,485.09,0.0,400,43
9,is1,crps,73.65,598.35,0.0,400,43
10,is1,dss,-454.79,-3411.67,0.0,400,43
11,is1,is1,290.32,2363.0,0.0,400,43
12,sse,sse,57.82,515.61,0.0,400,43
13,sse,crps,70.9,614.25,0.0,400,43
14,sse,dss,-483.41,-3210.12,0.0,400,43
15,sse,is1,281.0,2412.04,0.0,400,43
16,crps,sse,61.05,492.17,0.1,400,43
17,crps,crps,73.28,602.4,0.1,400,43
18,crps,dss,-461.14,-3379.64,0.1,400,43
19,crps,is1,290.18,2405.78,0.1,400,43
20,dss,sse,61.65,492.69,0.1,400,43
21,dss,crps,74.31,598.36,0.1,400,43
22,dss,dss,-464.62,-3439.15,0.1,400,43
23,dss,is1,295.29,2365.13,0.1,400,43
24,is1,sse,61.84,485.09,0.1,400,43
25,is1,crps,73.65,598.35,0.1,400,43
26,is1,dss,-454.79,-3411.67,0.1,400,43
27,is1,is1,290.32,2363.0,0.1,400,43
28,sse,sse,57.82,515.61,0.1,400,43
29,sse,crps,70.9,614.25,0.1,400,43
30,sse,dss,-483.41,-3210.12,0.1,400,43
31,sse,is1,281.0,2412.04,0.1,400,43
32,crps,sse,61.05,492.17,0.3,400,43
33,crps,crps,73.28,602.4,0.3,400,43
34,crps,dss,-461.14,-3379.64,0.3,400,43
35,crps,is1,290.18,2405.78,0.3,400,43
36,dss,sse,65.47,475.38,0.3,400,43
37,dss,crps,79.92,621.45,0.3,400,43
38,dss,dss,-428.27,-3373.46,0.3,400,43
39,dss,is1,315.59,2464.15,0.3,400,43
40,is1,sse,64.2,474.14,0.3,400,43
41,is1,crps,76.05,611.46,0.3,400,43
42,is1,dss,-441.24,-3382.94,0.3,400,43
43,is1,is1,296.24,2424.71,0.3,400,43
44,sse,sse,57.96,517.93,0.3,400,43
45,sse,crps,72.41,628.47,0.3,400,43
46,sse,dss,-481.55,-3190.24,0.3,400,43
47,sse,is1,287.72,2486.28,0.3,400,43
48,crps,sse,61.4,488.84,0.5,400,43
49,crps,crps,73.92,596.54,0.5,400,43
50,crps,dss,-454.85,-3423.6,0.5,400,43
51,crps,is1,293.12,2384.06,0.5,400,43
52,dss,sse,65.47,475.38,0.5,400,43
53,dss,crps,79.92,621.45,0.5,400,43
54,dss,dss,-428.27,-3373.46,0.5,400,43
55,dss,is1,315.59,2464.15,0.5,400,43
56,is1,sse,64.38,472.54,0.5,400,43
57,is1,crps,76.46,608.11,0.5,400,43
58,is1,dss,-439.38,-3399.01,0.5,400,43
59,is1,is1,299.02,2402.45,0.5,400,43
60,sse,sse,61.99,499.36,0.5,400,43
61,sse,crps,77.79,627.01,0.5,400,43
62,sse,dss,-415.89,-2969.34,0.5,400,43
63,sse,is1,311.93,2517.6,0.5,400,43
64,crps,sse,62.27,478.67,0.8,400,43
65,crps,crps,74.87,589.33,0.8,400,43
66,crps,dss,-427.48,-3553.1,0.8,400,43
67,crps,is1,298.07,2352.4,0.8,400,43
68,dss,sse,65.47,475.38,0.8,400,43
69,dss,crps,79.92,621.45,0.8,400,43
70,dss,dss,-428.27,-3373.46,0.8,400,43
71,dss,is1,315.59,2464.15,0.8,400,43
72,is1,sse,64.77,471.41,0.8,400,43
73,is1,crps,77.28,604.46,0.8,400,43
74,is1,dss,-435.67,-3409.15,0.8,400,43
75,is1,is1,304.58,2388.02,0.8,400,43
76,sse,sse,62.22,500.51,0.8,400,43
77,sse,crps,78.12,627.35,0.8,400,43
78,sse,dss,-413.63,-2957.81,0.8,400,43
79,sse,is1,313.78,2523.16,0.8,400,43
