,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,107.8,486.02,0.0,800,32
1,crps,crps,136.1,599.09,0.0,800,32
2,crps,dss,-1031.86,-3316.05,0.0,800,32
3,crps,is1,557.57,2332.64,0.0,800,32
4,dss,sse,108.23,488.0,0.0,800,32
5,dss,crps,137.18,601.24,0.0,800,32
6,dss,dss,-1033.77,-3315.97,0.0,800,32
7,dss,is1,560.17,2333.1,0.0,800,32
8,is1,sse,108.1,470.22,0.0,800,32
9,is1,crps,136.41,591.08,0.0,800,32
10,is1,dss,-1025.42,-3533.92,0.0,800,32
11,is1,is1,553.6,2333.31,0.0,800,32
12,sse,sse,105.36,476.52,0.0,800,32
13,sse,crps,135.47,592.44,0.0,800,32
14,sse,dss,-1033.93,-3553.57,0.0,800,32
15,sse,is1,552.06,2321.11,0.0,800,32
16,crps,sse,107.92,485.34,0.1,800,32
17,crps,crps,136.24,598.4,0.1,800,32
18,crps,dss,-1030.67,-3322.88,0.1,800,32
19,crps,is1,557.59,2331.13,0.1,800,32
20,dss,sse,108.57,486.45,0.1,800,32
21,dss,crps,137.62,599.39,0.1,800,32
22,dss,dss,-1030.32,-3331.43,0.1,800,32
23,dss,is1,561.62,2330.29,0.1,800,32
24,is1,sse,108.36,468.88,0.1,800,32
25,is1,crps,136.8,589.17,0.1,800,32
26,is1,dss,-1022.83,-3547.27,0.1,800,32
27,is1,is1,554.12,2329.23,0.1,800,32
28,sse,sse,105.36,476.52,0.1,800,32
29,sse,crps,135.47,592.44,0.1,800,32
30,sse,dss,-1033.93,-3553.57,0.1,800,32
31,sse,is1,552.06,2321.11,0.1,800,32
32,crps,sse,109.24,478.6,0.3,800,32
33,crps,crps,137.91,593.36,0.3,800,32
34,crps,dss,-1006.84,-3394.08,0.3,800,32
35,crps,is1,567.38,2291.46,0.3,800,32
36,dss,sse,112.33,490.13,0.3,800,32
37,dss,crps,144.68,619.84,0.3,800,32
38,dss,dss,-968.8,-3242.97,0.3,800,32
39,dss,is1,602.0,2419.84,0.3,800,32
40,is1,sse,110.68,457.34,0.3,800,32
41,is1,crps,139.45,577.16,0.3,800,32
42,is1,dss,-993.96,-3688.38,0.3,800,32
43,is1,is1,563.75,2289.03,0.3,800,32
44,sse,sse,112.12,456.98,0.3,800,32
45,sse,crps,144.42,594.61,0.3,800,32
46,sse,dss,-918.3,-3497.38,0.3,800,32
47,sse,is1,588.36,2363.55,0.3,800,32
48,crps,sse,109.24,478.6,0.5,800,32
49,crps,crps,137.91,593.36,0.5,800,32
50,crps,dss,-1006.84,-3394.08,0.5,800,32
51,crps,is1,567.38,2291.46,0.5,800,32
52,dss,sse,115.04,465.65,0.5,800,32
53,dss,crps,147.17,600.5,0.5,800,32
54,dss,dss,-940.43,-3567.12,0.5,800,32
55,dss,is1,607.1,2391.0,0.5,800,32
56,is1,sse,111.85,454.25,0.5,800,32
57,is1,crps,140.42,574.69,0.5,800,32
58,is1,dss,-972.34,-3720.65,0.5,800,32
59,is1,is1,571.62,2268.24,0.5,800,32
60,sse,sse,115.22,468.51,0.5,800,32
61,sse,crps,151.2,621.09,0.5,800,32
62,sse,dss,-880.26,-3346.27,0.5,800,32
63,sse,is1,622.98,2491.93,0.5,800,32
64,crps,sse,111.95,454.12,0.8,800,32
65,crps,crps,140.39,574.02,0.8,800,32
66,crps,dss,-978.47,-3718.22,0.8,800,32
67,crps,is1,572.48,2262.62,0.8,800,32
68,dss,sse,115.22,468.51,0.8,800,32
69,dss,crps,151.2,621.09,0.8,800,32
70,dss,dss,-880.26,-3346.27,0.8,800,32
71,dss,is1,622.98,2491.93,0.8,800,32
72,is1,sse,111.85,454.25,0.8,800,32
73,is1,crps,140.42,574.69,0.8,800,32
74,is1,dss,-972.34,-3720.65,0.8,800,32
75,is1,is1,571.62,2268.24,0.8,800,32
76,sse,sse,115.22,468.51,0.8,800,32
77,sse,crps,151.2,621.09,0.8,800,32
78,sse,dss,-880.26,-3346.27,0.8,800,32
79,sse,is1,622.98,2491.93,0.8,800,32
