,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,108.08,699.12,0.0,200,41
1,crps,crps,64.1,488.21,0.0,200,41
2,crps,dss,-62.9,-665.4,0.0,200,41
3,crps,is1,665.52,5280.18,0.0,200,41
4,dss,sse,90.3,655.99,0.0,200,41
5,dss,crps,58.31,472.01,0.0,200,41
6,dss,dss,-123.6,-760.76,0.0,200,41
7,dss,is1,658.0,5273.26,0.0,200,41
8,is1,sse,112.98,789.54,0.0,200,41
9,is1,crps,65.43,507.15,0.0,200,41
10,is1,dss,-57.65,-584.31,0.0,200,41
11,is1,is1,664.65,5287.12,0.0,200,41
12,sse,sse,90.15,656.84,0.0,200,41
13,sse,crps,58.41,471.98,0.0,200,41
14,sse,dss,-122.18,-730.64,0.0,200,41
15,sse,is1,659.72,5257.1,0.0,200,41
16,crps,sse,110.84,720.56,0.1,200,41
17,crps,crps,66.2,490.67,0.1,200,41
18,crps,dss,-40.89,-494.55,0.1,200,41
19,crps,is1,670.82,5316.7,0.1,200,41
20,dss,sse,92.29,647.98,0.1,200,41
21,dss,crps,59.82,463.04,0.1,200,41
22,dss,dss,-111.84,-618.44,0.1,200,41
23,dss,is1,667.27,5283.41,0.1,200,41
24,is1,sse,161.38,931.89,0.1,200,41
25,is1,crps,77.58,536.56,0.1,200,41
26,is1,dss,111.66,562.54,0.1,200,41
27,is1,is1,672.82,5303.84,0.1,200,41
28,sse,sse,203.74,1723.03,0.1,200,41
29,sse,crps,103.71,855.85,0.1,200,41
30,sse,dss,102.21,925.31,0.1,200,41
31,sse,is1,768.99,6229.1,0.1,200,41
32,crps,sse,203.74,1723.03,0.3,200,41
33,crps,crps,103.71,855.85,0.3,200,41
34,crps,dss,102.21,925.31,0.3,200,41
35,crps,is1,768.99,6229.1,0.3,200,41
36,dss,sse,203.74,1723.03,0.3,200,41
37,dss,crps,103.71,855.85,0.3,200,41
38,dss,dss,102.21,925.31,0.3,200,41
39,dss,is1,768.99,6229.1,0.3,200,41
40,is1,sse,247.92,1876.56,0.3,200,41
41,is1,crps,112.56,884.8,0.3,200,41
42,is1,dss,241.0,1879.29,0.3,200,41
43,is1,is1,752.7,6100.52,0.3,200,41
44,sse,sse,203.74,1723.03,0.3,200,41
45,sse,crps,103.71,855.85,0.3,200,41
46,sse,dss,102.21,925.31,0.3,200,41
47,sse,is1,768.99,6229.1,0.3,200,41
48,crps,sse,203.74,1723.03,0.5,200,41
49,crps,crps,103.71,855.85,0.5,200,41
50,crps,dss,102.21,925.31,0.5,200,41
51,crps,is1,768.99,6229.1,0.5,200,41
52,dss,sse,203.74,1723.03,0.5,200,41
53,dss,crps,103.71,855.85,0.5,200,41
54,dss,dss,102.21,925.31,0.5,200,41
55,dss,is1,768.99,6229.1,0.5,200,41
56,is1,sse,247.92,1876.56,0.5,200,41
57,is1,crps,112.56,884.8,0.5,200,41
58,is1,dss,241.0,1879.29,0.5,200,41
59,is1,is1,752.7,6100.52,0.5,200,41
60,sse,sse,203.74,1723.03,0.5,200,41
61,sse,crps,103.71,855.85,0.5,200,41
62,sse,dss,102.21,925.31,0.5,200,41
63,sse,is1,768.99,6229.1,0.5,200,41
64,crps,sse,203.74,1723.03,0.8,200,41
65,crps,crps,103.71,855.85,0.8,200,41
66,crps,dss,102.21,925.31,0.8,200,41
67,crps,is1,768.99,6229.1,0.8,200,41
68,dss,sse,203.74,1723.03,0.8,200,41
69,dss,crps,103.71,855.85,0.8,200,41
70,dss,dss,102.21,925.31,0.8,200,41
71,dss,is1,768.99,6229.1,0.8,200,41
72,is1,sse,247.92,1876.56,0.8,200,41
73,is1,crps,112.56,884.8,0.8,200,41
74,is1,dss,241.0,1879.29,0.8,200,41
75,is1,is1,752.7,6100.52,0.8,200,41
76,sse,sse,203.74,1723.03,0.8,200,41
77,sse,crps,103.71,855.85,0.8,200,41
78,sse,dss,102.21,925.31,0.8,200,41
79,sse,is1,768.99,6229.1,0.8,200,41
