,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,471.78,559.0,0.0,1600,87
1,crps,crps,412.57,440.64,0.0,1600,87
2,crps,dss,-985.72,-783.8,0.0,1600,87
3,crps,is1,5262.36,5253.47,0.0,1600,87
4,dss,sse,475.73,560.38,0.0,1600,87
5,dss,crps,414.35,440.83,0.0,1600,87
6,dss,dss,-996.67,-752.57,0.0,1600,87
7,dss,is1,5264.04,5267.01,0.0,1600,87
8,is1,sse,565.07,634.01,0.0,1600,87
9,is1,crps,443.69,473.27,0.0,1600,87
10,is1,dss,-709.9,-498.15,0.0,1600,87
11,is1,is1,5224.27,5186.86,0.0,1600,87
12,sse,sse,471.92,558.96,0.0,1600,87
13,sse,crps,412.89,440.28,0.0,1600,87
14,sse,dss,-984.36,-784.14,0.0,1600,87
15,sse,is1,5262.04,5252.34,0.0,1600,87
16,crps,sse,477.66,555.38,0.1,1600,87
17,crps,crps,416.33,438.29,0.1,1600,87
18,crps,dss,-965.6,-794.39,0.1,1600,87
19,crps,is1,5272.27,5255.48,0.1,1600,87
20,dss,sse,477.66,555.38,0.1,1600,87
21,dss,crps,416.33,438.29,0.1,1600,87
22,dss,dss,-965.6,-794.39,0.1,1600,87
23,dss,is1,5272.27,5255.48,0.1,1600,87
24,is1,sse,802.72,835.07,0.1,1600,87
25,is1,crps,510.84,527.07,0.1,1600,87
26,is1,dss,378.1,437.41,0.1,1600,87
27,is1,is1,5272.65,5215.21,0.1,1600,87
28,sse,sse,477.66,555.38,0.1,1600,87
29,sse,crps,416.33,438.29,0.1,1600,87
30,sse,dss,-965.6,-794.39,0.1,1600,87
31,sse,is1,5272.27,5255.48,0.1,1600,87
32,crps,sse,1819.69,1852.77,0.3,1600,87
33,crps,crps,869.63,881.53,0.3,1600,87
34,crps,dss,965.05,1040.49,0.3,1600,87
35,crps,is1,6368.98,6292.65,0.3,1600,87
36,dss,sse,1819.69,1852.77,0.3,1600,87
37,dss,crps,869.63,881.53,0.3,1600,87
38,dss,dss,965.05,1040.49,0.3,1600,87
39,dss,is1,6368.98,6292.65,0.3,1600,87
40,is1,sse,1117.14,1047.94,0.3,1600,87
41,is1,crps,581.67,574.6,0.3,1600,87
42,is1,dss,766.85,727.36,0.3,1600,87
43,is1,is1,5351.01,5264.06,0.3,1600,87
44,sse,sse,1819.69,1852.77,0.3,1600,87
45,sse,crps,869.63,881.53,0.3,1600,87
46,sse,dss,965.05,1040.49,0.3,1600,87
47,sse,is1,6368.98,6292.65,0.3,1600,87
48,crps,sse,1819.69,1852.77,0.5,1600,87
49,crps,crps,869.63,881.53,0.5,1600,87
50,crps,dss,965.05,1040.49,0.5,1600,87
51,crps,is1,6368.98,6292.65,0.5,1600,87
52,dss,sse,1819.69,1852.77,0.5,1600,87
53,dss,crps,869.63,881.53,0.5,1600,87
54,dss,dss,965.05,1040.49,0.5,1600,87
55,dss,is1,6368.98,6292.65,0.5,1600,87
56,is1,sse,1911.01,1863.33,0.5,1600,87
57,is1,crps,881.32,877.2,0.5,1600,87
58,is1,dss,1883.97,1846.19,0.5,1600,87
59,is1,is1,6130.11,6071.88,0.5,1600,87
60,sse,sse,1819.69,1852.77,0.5,1600,87
61,sse,crps,869.63,881.53,0.5,1600,87
62,sse,dss,965.05,1040.49,0.5,1600,87
63,sse,is1,6368.98,6292.65,0.5,1600,87
64,crps,sse,1819.69,1852.77,0.8,1600,87
65,crps,crps,869.63,881.53,0.8,1600,87
66,crps,dss,965.05,1040.49,0.8,1600,87
67,crps,is1,6368.98,6292.65,0.8,1600,87
68,dss,sse,1819.69,1852.77,0.8,1600,87
69,dss,crps,869.63,881.53,0.8,1600,87
70,dss,dss,965.05,1040.49,0.8,1600,87
71,dss,is1,6368.98,6292.65,0.8,1600,87
72,is1,sse,1911.01,1863.33,0.8,1600,87
73,is1,crps,881.32,877.2,0.8,1600,87
74,is1,dss,1883.97,1846.19,0.8,1600,87
75,is1,is1,6130.11,6071.88,0.8,1600,87
76,sse,sse,1819.69,1852.77,0.8,1600,87
77,sse,crps,869.63,881.53,0.8,1600,87
78,sse,dss,965.05,1040.49,0.8,1600,87
79,sse,is1,6368.98,6292.65,0.8,1600,87
