,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,37.35,485.03,0.0,200,89
1,crps,crps,40.84,631.81,0.0,200,89
2,crps,dss,-195.57,-3251.67,0.0,200,89
3,crps,is1,163.34,2503.03,0.0,200,89
4,dss,sse,37.84,472.07,0.0,200,89
5,dss,crps,41.11,622.86,0.0,200,89
6,dss,dss,-202.3,-3331.35,0.0,200,89
7,dss,is1,165.55,2570.52,0.0,200,89
8,is1,sse,37.31,490.17,0.0,200,89
9,is1,crps,41.0,632.39,0.0,200,89
10,is1,dss,-196.75,-3278.97,0.0,200,89
11,is1,is1,161.81,2491.17,0.0,200,89
12,sse,sse,36.44,502.77,0.0,200,89
13,sse,crps,41.64,639.48,0.0,200,89
14,sse,dss,-187.01,-3203.71,0.0,200,89
15,sse,is1,166.81,2570.82,0.0,200,89
16,crps,sse,37.35,485.03,0.1,200,89
17,crps,crps,40.84,631.81,0.1,200,89
18,crps,dss,-195.57,-3251.67,0.1,200,89
19,crps,is1,163.34,2503.03,0.1,200,89
20,dss,sse,38.25,468.23,0.1,200,89
21,dss,crps,42.35,629.75,0.1,200,89
22,dss,dss,-198.12,-3383.66,0.1,200,89
23,dss,is1,172.04,2587.55,0.1,200,89
24,is1,sse,37.31,490.17,0.1,200,89
25,is1,crps,41.0,632.39,0.1,200,89
26,is1,dss,-196.75,-3278.97,0.1,200,89
27,is1,is1,161.81,2491.17,0.1,200,89
28,sse,sse,36.65,501.36,0.1,200,89
29,sse,crps,42.57,645.12,0.1,200,89
30,sse,dss,-183.05,-3289.16,0.1,200,89
31,sse,is1,171.54,2602.88,0.1,200,89
32,crps,sse,37.35,485.03,0.3,200,89
33,crps,crps,40.84,631.81,0.3,200,89
34,crps,dss,-195.57,-3251.67,0.3,200,89
35,crps,is1,163.34,2503.03,0.3,200,89
36,dss,sse,38.25,469.09,0.3,200,89
37,dss,crps,42.77,623.16,0.3,200,89
38,dss,dss,-195.06,-3363.28,0.3,200,89
39,dss,is1,173.02,2504.95,0.3,200,89
40,is1,sse,37.31,490.0,0.3,200,89
41,is1,crps,41.19,629.62,0.3,200,89
42,is1,dss,-196.66,-3281.49,0.3,200,89
43,is1,is1,162.59,2488.51,0.3,200,89
44,sse,sse,36.99,488.38,0.3,200,89
45,sse,crps,43.11,637.76,0.3,200,89
46,sse,dss,-177.22,-3257.65,0.3,200,89
47,sse,is1,173.08,2561.77,0.3,200,89
48,crps,sse,37.68,479.26,0.5,200,89
49,crps,crps,41.46,621.66,0.5,200,89
50,crps,dss,-190.8,-3391.48,0.5,200,89
51,crps,is1,165.3,2463.17,0.5,200,89
52,dss,sse,38.47,466.5,0.5,200,89
53,dss,crps,43.18,614.93,0.5,200,89
54,dss,dss,-186.53,-3453.3,0.5,200,89
55,dss,is1,175.07,2416.56,0.5,200,89
56,is1,sse,37.43,487.49,0.5,200,89
57,is1,crps,41.36,626.16,0.5,200,89
58,is1,dss,-195.42,-3306.61,0.5,200,89
59,is1,is1,163.41,2466.41,0.5,200,89
60,sse,sse,36.99,488.38,0.5,200,89
61,sse,crps,43.11,637.76,0.5,200,89
62,sse,dss,-177.22,-3257.65,0.5,200,89
63,sse,is1,173.08,2561.77,0.5,200,89
64,crps,sse,37.85,475.1,0.8,200,89
65,crps,crps,41.71,615.34,0.8,200,89
66,crps,dss,-189.57,-3428.94,0.8,200,89
67,crps,is1,168.54,2403.06,0.8,200,89
68,dss,sse,38.54,469.01,0.8,200,89
69,dss,crps,44.39,627.15,0.8,200,89
70,dss,dss,-172.63,-3282.42,0.8,200,89
71,dss,is1,177.99,2512.68,0.8,200,89
72,is1,sse,38.48,466.25,0.8,200,89
73,is1,crps,43.6,611.93,0.8,200,89
74,is1,dss,-173.24,-3310.03,0.8,200,89
75,is1,is1,172.96,2427.17,0.8,200,89
76,sse,sse,36.99,488.38,0.8,200,89
77,sse,crps,43.11,637.76,0.8,200,89
78,sse,dss,-177.22,-3257.65,0.8,200,89
79,sse,is1,173.08,2561.77,0.8,200,89
