,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,132.33,754.74,0.0,400,53
1,crps,crps,105.39,503.09,0.0,400,53
2,crps,dss,-248.8,-109.12,0.0,400,53
3,crps,is1,1287.06,5257.75,0.0,400,53
4,dss,sse,151.63,782.12,0.0,400,53
5,dss,crps,112.37,506.61,0.0,400,53
6,dss,dss,-250.6,-446.04,0.0,400,53
7,dss,is1,1320.84,5411.66,0.0,400,53
8,is1,sse,132.31,755.96,0.0,400,53
9,is1,crps,105.35,504.34,0.0,400,53
10,is1,dss,-249.88,-143.02,0.0,400,53
11,is1,is1,1285.14,5271.32,0.0,400,53
12,sse,sse,131.28,764.64,0.0,400,53
13,sse,crps,105.0,507.22,0.0,400,53
14,sse,dss,-247.0,-143.75,0.0,400,53
15,sse,is1,1288.88,5282.01,0.0,400,53
16,crps,sse,159.82,1002.71,0.1,400,53
17,crps,crps,115.36,566.17,0.1,400,53
18,crps,dss,-117.91,452.09,0.1,400,53
19,crps,is1,1328.77,5516.11,0.1,400,53
20,dss,sse,152.3,782.49,0.1,400,53
21,dss,crps,113.64,503.52,0.1,400,53
22,dss,dss,-238.71,-586.97,0.1,400,53
23,dss,is1,1327.55,5400.72,0.1,400,53
24,is1,sse,143.0,844.76,0.1,400,53
25,is1,crps,110.93,529.87,0.1,400,53
26,is1,dss,-194.44,-40.55,0.1,400,53
27,is1,is1,1296.84,5256.94,0.1,400,53
28,sse,sse,159.82,1002.71,0.1,400,53
29,sse,crps,115.36,566.17,0.1,400,53
30,sse,dss,-117.91,452.09,0.1,400,53
31,sse,is1,1328.77,5516.11,0.1,400,53
32,crps,sse,396.65,1723.08,0.3,400,53
33,crps,crps,205.66,852.35,0.3,400,53
34,crps,dss,195.46,925.71,0.3,400,53
35,crps,is1,1533.48,6200.49,0.3,400,53
36,dss,sse,396.65,1723.08,0.3,400,53
37,dss,crps,205.66,852.35,0.3,400,53
38,dss,dss,195.46,925.71,0.3,400,53
39,dss,is1,1533.48,6200.49,0.3,400,53
40,is1,sse,396.65,1723.08,0.3,400,53
41,is1,crps,205.66,852.35,0.3,400,53
42,is1,dss,195.46,925.71,0.3,400,53
43,is1,is1,1533.48,6200.49,0.3,400,53
44,sse,sse,396.65,1723.08,0.3,400,53
45,sse,crps,205.66,852.35,0.3,400,53
46,sse,dss,195.46,925.71,0.3,400,53
47,sse,is1,1533.48,6200.49,0.3,400,53
48,crps,sse,396.65,1723.08,0.5,400,53
49,crps,crps,205.66,852.35,0.5,400,53
50,crps,dss,195.46,925.71,0.5,400,53
51,crps,is1,1533.48,6200.49,0.5,400,53
52,dss,sse,396.65,1723.08,0.5,400,53
53,dss,crps,205.66,852.35,0.5,400,53
54,dss,dss,195.46,925.71,0.5,400,53
55,dss,is1,1533.48,6200.49,0.5,400,53
56,is1,sse,396.65,1723.08,0.5,400,53
57,is1,crps,205.66,852.35,0.5,400,53
58,is1,dss,195.46,925.71,0.5,400,53
59,is1,is1,1533.48,6200.49,0.5,400,53
60,sse,sse,396.65,1723.08,0.5,400,53
61,sse,crps,205.66,852.35,0.5,400,53
62,sse,dss,195.46,925.71,0.5,400,53
63,sse,is1,1533.48,6200.49,0.5,400,53
64,crps,sse,396.65,1723.08,0.8,400,53
65,crps,crps,205.66,852.35,0.8,400,53
66,crps,dss,195.46,925.71,0.8,400,53
67,crps,is1,1533.48,6200.49,0.8,400,53
68,dss,sse,396.65,1723.08,0.8,400,53
69,dss,crps,205.66,852.35,0.8,400,53
70,dss,dss,195.46,925.71,0.8,400,53
71,dss,is1,1533.48,6200.49,0.8,400,53
72,is1,sse,396.65,1723.08,0.8,400,53
73,is1,crps,205.66,852.35,0.8,400,53
74,is1,dss,195.46,925.71,0.8,400,53
75,is1,is1,1533.48,6200.49,0.8,400,53
76,sse,sse,396.65,1723.08,0.8,400,53
77,sse,crps,205.66,852.35,0.8,400,53
78,sse,dss,195.46,925.71,0.8,400,53
79,sse,is1,1533.48,6200.49,0.8,400,53
