,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,86.27,992.35,0.0,200,22
1,crps,crps,59.94,549.55,0.0,200,22
2,crps,dss,-57.23,-62.12,0.0,200,22
3,crps,is1,616.98,5672.84,0.0,200,22
4,dss,sse,85.66,902.04,0.0,200,22
5,dss,crps,60.47,529.06,0.0,200,22
6,dss,dss,-86.41,-317.73,0.0,200,22
7,dss,is1,622.38,5651.17,0.0,200,22
8,is1,sse,90.92,782.32,0.0,200,22
9,is1,crps,58.55,499.03,0.0,200,22
10,is1,dss,-106.83,-793.29,0.0,200,22
11,is1,is1,605.14,5252.53,0.0,200,22
12,sse,sse,85.02,909.91,0.0,200,22
13,sse,crps,60.39,529.66,0.0,200,22
14,sse,dss,-85.7,-187.78,0.0,200,22
15,sse,is1,621.89,5651.03,0.0,200,22
16,crps,sse,88.77,984.47,0.1,200,22
17,crps,crps,62.07,542.9,0.1,200,22
18,crps,dss,-48.68,-177.86,0.1,200,22
19,crps,is1,627.54,5676.17,0.1,200,22
20,dss,sse,86.23,892.91,0.1,200,22
21,dss,crps,61.17,520.85,0.1,200,22
22,dss,dss,-75.63,-580.18,0.1,200,22
23,dss,is1,625.98,5619.4,0.1,200,22
24,is1,sse,159.11,805.22,0.1,200,22
25,is1,crps,75.47,501.58,0.1,200,22
26,is1,dss,68.59,522.94,0.1,200,22
27,is1,is1,614.72,5186.36,0.1,200,22
28,sse,sse,95.7,1023.42,0.1,200,22
29,sse,crps,64.65,555.82,0.1,200,22
30,sse,dss,-9.84,152.37,0.1,200,22
31,sse,is1,630.35,5693.34,0.1,200,22
32,crps,sse,184.73,1873.4,0.3,200,22
33,crps,crps,99.53,890.18,0.3,200,22
34,crps,dss,103.89,1100.42,0.3,200,22
35,crps,is1,717.93,6350.25,0.3,200,22
36,dss,sse,184.73,1873.4,0.3,200,22
37,dss,crps,99.53,890.18,0.3,200,22
38,dss,dss,103.89,1100.42,0.3,200,22
39,dss,is1,717.93,6350.25,0.3,200,22
40,is1,sse,263.13,1789.25,0.3,200,22
41,is1,crps,115.61,863.57,0.3,200,22
42,is1,dss,241.97,1928.25,0.3,200,22
43,is1,is1,717.88,6089.28,0.3,200,22
44,sse,sse,184.73,1873.4,0.3,200,22
45,sse,crps,99.53,890.18,0.3,200,22
46,sse,dss,103.89,1100.42,0.3,200,22
47,sse,is1,717.93,6350.25,0.3,200,22
48,crps,sse,184.73,1873.4,0.5,200,22
49,crps,crps,99.53,890.18,0.5,200,22
50,crps,dss,103.89,1100.42,0.5,200,22
51,crps,is1,717.93,6350.25,0.5,200,22
52,dss,sse,184.73,1873.4,0.5,200,22
53,dss,crps,99.53,890.18,0.5,200,22
54,dss,dss,103.89,1100.42,0.5,200,22
55,dss,is1,717.93,6350.25,0.5,200,22
56,is1,sse,263.13,1789.25,0.5,200,22
57,is1,crps,115.61,863.57,0.5,200,22
58,is1,dss,241.97,1928.25,0.5,200,22
59,is1,is1,717.88,6089.28,0.5,200,22
60,sse,sse,184.73,1873.4,0.5,200,22
61,sse,crps,99.53,890.18,0.5,200,22
62,sse,dss,103.89,1100.42,0.5,200,22
63,sse,is1,717.93,6350.25,0.5,200,22
64,crps,sse,184.73,1873.4,0.8,200,22
65,crps,crps,99.53,890.18,0.8,200,22
66,crps,dss,103.89,1100.42,0.8,200,22
67,crps,is1,717.93,6350.25,0.8,200,22
68,dss,sse,184.73,1873.4,0.8,200,22
69,dss,crps,99.53,890.18,0.8,200,22
70,dss,dss,103.89,1100.42,0.8,200,22
71,dss,is1,717.93,6350.25,0.8,200,22
72,is1,sse,263.13,1789.25,0.8,200,22
73,is1,crps,115.61,863.57,0.8,200,22
74,is1,dss,241.97,1928.25,0.8,200,22
75,is1,is1,717.88,6089.28,0.8,200,22
76,sse,sse,184.73,1873.4,0.8,200,22
77,sse,crps,99.53,890.18,0.8,200,22
78,sse,dss,103.89,1100.42,0.8,200,22
79,sse,is1,717.93,6350.25,0.8,200,22
