,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,23.82,496.39,0.0,200,95
1,crps,crps,30.8,622.7,0.0,200,95
2,crps,dss,-287.73,-3363.21,0.0,200,95
3,crps,is1,128.75,2424.65,0.0,200,95
4,dss,sse,22.93,505.51,0.0,200,95
5,dss,crps,29.86,631.4,0.0,200,95
6,dss,dss,-294.41,-3316.6,0.0,200,95
7,dss,is1,124.58,2458.45,0.0,200,95
8,is1,sse,24.26,491.23,0.0,200,95
9,is1,crps,31.11,621.12,0.0,200,95
10,is1,dss,-283.03,-3507.55,0.0,200,95
11,is1,is1,122.57,2455.42,0.0,200,95
12,sse,sse,23.82,505.75,0.0,200,95
13,sse,crps,30.64,632.35,0.0,200,95
14,sse,dss,-287.93,-3344.35,0.0,200,95
15,sse,is1,125.02,2448.91,0.0,200,95
16,crps,sse,23.82,496.39,0.1,200,95
17,crps,crps,30.8,622.7,0.1,200,95
18,crps,dss,-287.73,-3363.21,0.1,200,95
19,crps,is1,128.75,2424.65,0.1,200,95
20,dss,sse,22.99,504.6,0.1,200,95
21,dss,crps,30.02,628.46,0.1,200,95
22,dss,dss,-293.78,-3325.66,0.1,200,95
23,dss,is1,125.22,2445.13,0.1,200,95
24,is1,sse,24.26,491.23,0.1,200,95
25,is1,crps,31.11,621.12,0.1,200,95
26,is1,dss,-283.03,-3507.55,0.1,200,95
27,is1,is1,122.57,2455.42,0.1,200,95
28,sse,sse,23.82,505.75,0.1,200,95
29,sse,crps,30.64,632.35,0.1,200,95
30,sse,dss,-287.93,-3344.35,0.1,200,95
31,sse,is1,125.02,2448.91,0.1,200,95
32,crps,sse,23.82,496.39,0.3,200,95
33,crps,crps,30.8,622.7,0.3,200,95
34,crps,dss,-287.73,-3363.21,0.3,200,95
35,crps,is1,128.75,2424.65,0.3,200,95
36,dss,sse,24.25,495.88,0.3,200,95
37,dss,crps,33.26,624.4,0.3,200,95
38,dss,dss,-281.17,-3404.38,0.3,200,95
39,dss,is1,134.88,2496.28,0.3,200,95
40,is1,sse,24.26,491.23,0.3,200,95
41,is1,crps,31.11,621.12,0.3,200,95
42,is1,dss,-283.03,-3507.55,0.3,200,95
43,is1,is1,122.57,2455.42,0.3,200,95
44,sse,sse,23.82,505.75,0.3,200,95
45,sse,crps,30.64,632.35,0.3,200,95
46,sse,dss,-287.93,-3344.35,0.3,200,95
47,sse,is1,125.02,2448.91,0.3,200,95
48,crps,sse,23.82,496.39,0.5,200,95
49,crps,crps,30.8,622.7,0.5,200,95
50,crps,dss,-287.73,-3363.21,0.5,200,95
51,crps,is1,128.75,2424.65,0.5,200,95
52,dss,sse,26.32,468.11,0.5,200,95
53,dss,crps,34.32,609.85,0.5,200,95
54,dss,dss,-275.55,-3475.41,0.5,200,95
55,dss,is1,138.62,2422.09,0.5,200,95
56,is1,sse,24.26,491.23,0.5,200,95
57,is1,crps,31.11,621.12,0.5,200,95
58,is1,dss,-283.03,-3507.55,0.5,200,95
59,is1,is1,122.57,2455.42,0.5,200,95
60,sse,sse,23.84,505.12,0.5,200,95
61,sse,crps,30.74,629.83,0.5,200,95
62,sse,dss,-287.65,-3350.64,0.5,200,95
63,sse,is1,125.79,2431.22,0.5,200,95
64,crps,sse,23.82,496.39,0.8,200,95
65,crps,crps,30.8,622.7,0.8,200,95
66,crps,dss,-287.73,-3363.21,0.8,200,95
67,crps,is1,128.75,2424.65,0.8,200,95
68,dss,sse,26.32,468.11,0.8,200,95
69,dss,crps,34.32,609.85,0.8,200,95
70,dss,dss,-275.55,-3475.41,0.8,200,95
71,dss,is1,138.62,2422.09,0.8,200,95
72,is1,sse,24.34,490.62,0.8,200,95
73,is1,crps,31.25,619.51,0.8,200,95
74,is1,dss,-282.24,-3513.71,0.8,200,95
75,is1,is1,122.9,2455.89,0.8,200,95
76,sse,sse,23.98,505.07,0.8,200,95
77,sse,crps,31.09,626.3,0.8,200,95
78,sse,dss,-286.3,-3351.11,0.8,200,95
79,sse,is1,127.52,2411.56,0.8,200,95
