,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,50.84,468.76,0.0,400,79
1,crps,crps,65.54,586.11,0.0,400,79
2,crps,dss,-516.69,-3641.47,0.0,400,79
3,crps,is1,260.53,2289.38,0.0,400,79
4,dss,sse,50.47,471.51,0.0,400,79
5,dss,crps,65.19,589.12,0.0,400,79
6,dss,dss,-541.03,-3581.08,0.0,400,79
7,dss,is1,260.85,2290.2,0.0,400,79
8,is1,sse,50.49,477.93,0.0,400,79
9,is1,crps,65.16,588.99,0.0,400,79
10,is1,dss,-518.84,-3609.15,0.0,400,79
11,is1,is1,256.51,2303.72,0.0,400,79
12,sse,sse,48.84,481.92,0.0,400,79
13,sse,crps,64.29,593.97,0.0,400,79
14,sse,dss,-528.15,-3567.44,0.0,400,79
15,sse,is1,256.32,2327.61,0.0,400,79
16,crps,sse,50.84,468.76,0.1,400,79
17,crps,crps,65.54,586.11,0.1,400,79
18,crps,dss,-516.69,-3641.47,0.1,400,79
19,crps,is1,260.53,2289.38,0.1,400,79
20,dss,sse,50.59,469.69,0.1,400,79
21,dss,crps,65.7,583.88,0.1,400,79
22,dss,dss,-536.52,-3613.84,0.1,400,79
23,dss,is1,261.88,2280.78,0.1,400,79
24,is1,sse,50.49,477.93,0.1,400,79
25,is1,crps,65.16,588.99,0.1,400,79
26,is1,dss,-518.84,-3609.15,0.1,400,79
27,is1,is1,256.51,2303.72,0.1,400,79
28,sse,sse,48.87,481.82,0.1,400,79
29,sse,crps,64.41,593.41,0.1,400,79
30,sse,dss,-527.88,-3568.44,0.1,400,79
31,sse,is1,256.41,2326.64,0.1,400,79
32,crps,sse,51.04,466.36,0.3,400,79
33,crps,crps,65.99,581.6,0.3,400,79
34,crps,dss,-514.65,-3665.62,0.3,400,79
35,crps,is1,262.08,2276.47,0.3,400,79
36,dss,sse,52.08,466.05,0.3,400,79
37,dss,crps,68.94,598.87,0.3,400,79
38,dss,dss,-526.63,-3602.76,0.3,400,79
39,dss,is1,278.49,2364.44,0.3,400,79
40,is1,sse,50.57,477.87,0.3,400,79
41,is1,crps,65.34,588.58,0.3,400,79
42,is1,dss,-518.11,-3609.75,0.3,400,79
43,is1,is1,257.28,2301.48,0.3,400,79
44,sse,sse,49.01,479.5,0.3,400,79
45,sse,crps,64.68,589.9,0.3,400,79
46,sse,dss,-526.34,-3591.55,0.3,400,79
47,sse,is1,257.06,2317.82,0.3,400,79
48,crps,sse,51.04,466.36,0.5,400,79
49,crps,crps,65.99,581.6,0.5,400,79
50,crps,dss,-514.65,-3665.62,0.5,400,79
51,crps,is1,262.08,2276.47,0.5,400,79
52,dss,sse,52.45,465.4,0.5,400,79
53,dss,crps,69.44,597.11,0.5,400,79
54,dss,dss,-522.9,-3609.28,0.5,400,79
55,dss,is1,281.92,2353.67,0.5,400,79
56,is1,sse,50.69,477.81,0.5,400,79
57,is1,crps,65.68,587.11,0.5,400,79
58,is1,dss,-515.57,-3614.09,0.5,400,79
59,is1,is1,258.85,2294.39,0.5,400,79
60,sse,sse,49.01,479.5,0.5,400,79
61,sse,crps,64.68,589.9,0.5,400,79
62,sse,dss,-526.34,-3591.55,0.5,400,79
63,sse,is1,257.06,2317.82,0.5,400,79
64,crps,sse,51.94,463.14,0.8,400,79
65,crps,crps,66.67,579.34,0.8,400,79
66,crps,dss,-487.73,-3721.66,0.8,400,79
67,crps,is1,266.26,2269.5,0.8,400,79
68,dss,sse,54.04,467.31,0.8,400,79
69,dss,crps,73.73,622.02,0.8,400,79
70,dss,dss,-448.9,-3378.64,0.8,400,79
71,dss,is1,303.58,2480.89,0.8,400,79
72,is1,sse,50.69,477.81,0.8,400,79
73,is1,crps,65.68,587.11,0.8,400,79
74,is1,dss,-515.57,-3614.09,0.8,400,79
75,is1,is1,258.85,2294.39,0.8,400,79
76,sse,sse,49.84,492.36,0.8,400,79
77,sse,crps,69.03,629.67,0.8,400,79
78,sse,dss,-494.64,-3042.54,0.8,400,79
79,sse,is1,278.64,2529.99,0.8,400,79
