,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,139.32,643.45,0.0,400,13
1,crps,crps,106.91,465.03,0.0,400,13
2,crps,dss,-288.44,-939.86,0.0,400,13
3,crps,is1,1321.47,5289.39,0.0,400,13
4,dss,sse,148.01,670.27,0.0,400,13
5,dss,crps,109.76,477.12,0.0,400,13
6,dss,dss,-254.8,-785.7,0.0,400,13
7,dss,is1,1337.42,5331.84,0.0,400,13
8,is1,sse,155.54,798.39,0.0,400,13
9,is1,crps,112.42,521.01,0.0,400,13
10,is1,dss,-170.49,-235.23,0.0,400,13
11,is1,is1,1324.53,5331.08,0.0,400,13
12,sse,sse,138.93,642.62,0.0,400,13
13,sse,crps,106.59,465.86,0.0,400,13
14,sse,dss,-290.74,-934.19,0.0,400,13
15,sse,is1,1319.45,5287.01,0.0,400,13
16,crps,sse,147.59,697.8,0.1,400,13
17,crps,crps,111.0,481.29,0.1,400,13
18,crps,dss,-186.46,-398.06,0.1,400,13
19,crps,is1,1330.46,5272.79,0.1,400,13
20,dss,sse,149.91,660.79,0.1,400,13
21,dss,crps,111.87,468.88,0.1,400,13
22,dss,dss,-246.82,-821.72,0.1,400,13
23,dss,is1,1341.1,5313.91,0.1,400,13
24,is1,sse,188.25,994.04,0.1,400,13
25,is1,crps,126.29,593.02,0.1,400,13
26,is1,dss,-99.09,-15.52,0.1,400,13
27,is1,is1,1342.58,5398.07,0.1,400,13
28,sse,sse,147.59,697.8,0.1,400,13
29,sse,crps,111.0,481.29,0.1,400,13
30,sse,dss,-186.46,-398.06,0.1,400,13
31,sse,is1,1330.46,5272.79,0.1,400,13
32,crps,sse,383.37,1650.01,0.3,400,13
33,crps,crps,202.62,838.43,0.3,400,13
34,crps,dss,185.46,852.59,0.3,400,13
35,crps,is1,1525.69,6135.76,0.3,400,13
36,dss,sse,383.37,1650.01,0.3,400,13
37,dss,crps,202.62,838.43,0.3,400,13
38,dss,dss,185.46,852.59,0.3,400,13
39,dss,is1,1525.69,6135.76,0.3,400,13
40,is1,sse,383.37,1650.01,0.3,400,13
41,is1,crps,202.62,838.43,0.3,400,13
42,is1,dss,185.46,852.59,0.3,400,13
43,is1,is1,1525.69,6135.76,0.3,400,13
44,sse,sse,383.37,1650.01,0.3,400,13
45,sse,crps,202.62,838.43,0.3,400,13
46,sse,dss,185.46,852.59,0.3,400,13
47,sse,is1,1525.69,6135.76,0.3,400,13
48,crps,sse,383.37,1650.01,0.5,400,13
49,crps,crps,202.62,838.43,0.5,400,13
50,crps,dss,185.46,852.59,0.5,400,13
51,crps,is1,1525.69,6135.76,0.5,400,13
52,dss,sse,383.37,1650.01,0.5,400,13
53,dss,crps,202.62,838.43,0.5,400,13
54,dss,dss,185.46,852.59,0.5,400,13
55,dss,is1,1525.69,6135.76,0.5,400,13
56,is1,sse,383.37,1650.01,0.5,400,13
57,is1,crps,202.62,838.43,0.5,400,13
58,is1,dss,185.46,852.59,0.5,400,13
59,is1,is1,1525.69,6135.76,0.5,400,13
60,sse,sse,383.37,1650.01,0.5,400,13
61,sse,crps,202.62,838.43,0.5,400,13
62,sse,dss,185.46,852.59,0.5,400,13
63,sse,is1,1525.69,6135.76,0.5,400,13
64,crps,sse,383.37,1650.01,0.8,400,13
65,crps,crps,202.62,838.43,0.8,400,13
66,crps,dss,185.46,852.59,0.8,400,13
67,crps,is1,1525.69,6135.76,0.8,400,13
68,dss,sse,383.37,1650.01,0.8,400,13
69,dss,crps,202.62,838.43,0.8,400,13
70,dss,dss,185.46,852.59,0.8,400,13
71,dss,is1,1525.69,6135.76,0.8,400,13
72,is1,sse,383.37,1650.01,0.8,400,13
73,is1,crps,202.62,838.43,0.8,400,13
74,is1,dss,185.46,852.59,0.8,400,13
75,is1,is1,1525.69,6135.76,0.8,400,13
76,sse,sse,383.37,1650.01,0.8,400,13
77,sse,crps,202.62,838.43,0.8,400,13
78,sse,dss,185.46,852.59,0.8,400,13
79,sse,is1,1525.69,6135.76,0.8,400,13
