,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,126.7,655.24,0.0,400,76
1,crps,crps,96.89,483.52,0.0,400,76
2,crps,dss,-306.05,-192.04,0.0,400,76
3,crps,is1,1311.35,5247.46,0.0,400,76
4,dss,sse,120.45,717.09,0.0,400,76
5,dss,crps,95.75,495.74,0.0,400,76
6,dss,dss,-326.34,-359.12,0.0,400,76
7,dss,is1,1324.11,5380.39,0.0,400,76
8,is1,sse,144.21,741.38,0.0,400,76
9,is1,crps,101.1,489.91,0.0,400,76
10,is1,dss,-302.65,-688.38,0.0,400,76
11,is1,is1,1323.16,5303.39,0.0,400,76
12,sse,sse,126.53,654.48,0.0,400,76
13,sse,crps,96.91,483.12,0.0,400,76
14,sse,dss,-304.51,-212.67,0.0,400,76
15,sse,is1,1311.79,5247.48,0.0,400,76
16,crps,sse,135.97,629.18,0.1,400,76
17,crps,crps,102.57,464.59,0.1,400,76
18,crps,dss,-233.0,-555.15,0.1,400,76
19,crps,is1,1320.35,5201.3,0.1,400,76
20,dss,sse,125.05,698.12,0.1,400,76
21,dss,crps,99.25,482.04,0.1,400,76
22,dss,dss,-298.92,-582.3,0.1,400,76
23,dss,is1,1332.59,5356.01,0.1,400,76
24,is1,sse,186.13,1022.41,0.1,400,76
25,is1,crps,116.59,585.52,0.1,400,76
26,is1,dss,59.35,934.51,0.1,400,76
27,is1,is1,1334.8,5355.4,0.1,400,76
28,sse,sse,135.97,629.18,0.1,400,76
29,sse,crps,102.57,464.59,0.1,400,76
30,sse,dss,-233.0,-555.15,0.1,400,76
31,sse,is1,1320.35,5201.3,0.1,400,76
32,crps,sse,403.08,1785.89,0.3,400,76
33,crps,crps,202.07,862.81,0.3,400,76
34,crps,dss,397.44,1761.07,0.3,400,76
35,crps,is1,1527.49,6056.32,0.3,400,76
36,dss,sse,463.59,1974.06,0.3,400,76
37,dss,crps,218.85,912.18,0.3,400,76
38,dss,dss,246.42,1140.15,0.3,400,76
39,dss,is1,1625.28,6365.03,0.3,400,76
40,is1,sse,403.08,1785.89,0.3,400,76
41,is1,crps,202.07,862.81,0.3,400,76
42,is1,dss,397.44,1761.07,0.3,400,76
43,is1,is1,1527.49,6056.32,0.3,400,76
44,sse,sse,403.08,1785.89,0.3,400,76
45,sse,crps,202.07,862.81,0.3,400,76
46,sse,dss,397.44,1761.07,0.3,400,76
47,sse,is1,1527.49,6056.32,0.3,400,76
48,crps,sse,403.08,1785.89,0.5,400,76
49,crps,crps,202.07,862.81,0.5,400,76
50,crps,dss,397.44,1761.07,0.5,400,76
51,crps,is1,1527.49,6056.32,0.5,400,76
52,dss,sse,463.59,1974.06,0.5,400,76
53,dss,crps,218.85,912.18,0.5,400,76
54,dss,dss,246.42,1140.15,0.5,400,76
55,dss,is1,1625.28,6365.03,0.5,400,76
56,is1,sse,403.08,1785.89,0.5,400,76
57,is1,crps,202.07,862.81,0.5,400,76
58,is1,dss,397.44,1761.07,0.5,400,76
59,is1,is1,1527.49,6056.32,0.5,400,76
60,sse,sse,403.08,1785.89,0.5,400,76
61,sse,crps,202.07,862.81,0.5,400,76
62,sse,dss,397.44,1761.07,0.5,400,76
63,sse,is1,1527.49,6056.32,0.5,400,76
64,crps,sse,403.08,1785.89,0.8,400,76
65,crps,crps,202.07,862.81,0.8,400,76
66,crps,dss,397.44,1761.07,0.8,400,76
67,crps,is1,1527.49,6056.32,0.8,400,76
68,dss,sse,463.59,1974.06,0.8,400,76
69,dss,crps,218.85,912.18,0.8,400,76
70,dss,dss,246.42,1140.15,0.8,400,76
71,dss,is1,1625.28,6365.03,0.8,400,76
72,is1,sse,403.08,1785.89,0.8,400,76
73,is1,crps,202.07,862.81,0.8,400,76
74,is1,dss,397.44,1761.07,0.8,400,76
75,is1,is1,1527.49,6056.32,0.8,400,76
76,sse,sse,403.08,1785.89,0.8,400,76
77,sse,crps,202.07,862.81,0.8,400,76
78,sse,dss,397.44,1761.07,0.8,400,76
79,sse,is1,1527.49,6056.32,0.8,400,76
