,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,26.16,469.21,0.0,200,14
1,crps,crps,33.41,603.69,0.0,200,14
2,crps,dss,-253.23,-3554.77,0.0,200,14
3,crps,is1,140.3,2317.49,0.0,200,14
4,dss,sse,24.23,495.17,0.0,200,14
5,dss,crps,32.33,624.05,0.0,200,14
6,dss,dss,-271.45,-3389.47,0.0,200,14
7,dss,is1,132.01,2483.14,0.0,200,14
8,is1,sse,26.13,472.59,0.0,200,14
9,is1,crps,34.23,611.41,0.0,200,14
10,is1,dss,-249.6,-3529.8,0.0,200,14
11,is1,is1,139.02,2384.92,0.0,200,14
12,sse,sse,24.24,495.19,0.0,200,14
13,sse,crps,32.2,621.85,0.0,200,14
14,sse,dss,-270.46,-3417.77,0.0,200,14
15,sse,is1,131.02,2466.95,0.0,200,14
16,crps,sse,26.16,469.21,0.1,200,14
17,crps,crps,33.41,603.69,0.1,200,14
18,crps,dss,-253.23,-3554.77,0.1,200,14
19,crps,is1,140.3,2317.49,0.1,200,14
20,dss,sse,24.28,494.32,0.1,200,14
21,dss,crps,32.45,621.88,0.1,200,14
22,dss,dss,-271.0,-3397.93,0.1,200,14
23,dss,is1,133.24,2466.22,0.1,200,14
24,is1,sse,26.13,472.59,0.1,200,14
25,is1,crps,34.23,611.41,0.1,200,14
26,is1,dss,-249.6,-3529.8,0.1,200,14
27,is1,is1,139.02,2384.92,0.1,200,14
28,sse,sse,24.32,494.41,0.1,200,14
29,sse,crps,32.69,622.55,0.1,200,14
30,sse,dss,-269.27,-3422.0,0.1,200,14
31,sse,is1,132.8,2465.98,0.1,200,14
32,crps,sse,26.16,469.21,0.3,200,14
33,crps,crps,33.41,603.69,0.3,200,14
34,crps,dss,-253.23,-3554.77,0.3,200,14
35,crps,is1,140.3,2317.49,0.3,200,14
36,dss,sse,24.41,494.0,0.3,200,14
37,dss,crps,32.99,618.68,0.3,200,14
38,dss,dss,-268.38,-3426.0,0.3,200,14
39,dss,is1,135.42,2422.28,0.3,200,14
40,is1,sse,26.19,469.62,0.3,200,14
41,is1,crps,34.45,605.82,0.3,200,14
42,is1,dss,-248.96,-3559.45,0.3,200,14
43,is1,is1,139.08,2383.95,0.3,200,14
44,sse,sse,24.32,494.41,0.3,200,14
45,sse,crps,32.69,622.55,0.3,200,14
46,sse,dss,-269.27,-3422.0,0.3,200,14
47,sse,is1,132.8,2465.98,0.3,200,14
48,crps,sse,26.16,469.21,0.5,200,14
49,crps,crps,33.41,603.69,0.5,200,14
50,crps,dss,-253.23,-3554.77,0.5,200,14
51,crps,is1,140.3,2317.49,0.5,200,14
52,dss,sse,24.57,489.42,0.5,200,14
53,dss,crps,33.44,609.86,0.5,200,14
54,dss,dss,-266.77,-3471.81,0.5,200,14
55,dss,is1,135.55,2416.92,0.5,200,14
56,is1,sse,26.19,469.62,0.5,200,14
57,is1,crps,34.45,605.82,0.5,200,14
58,is1,dss,-248.96,-3559.45,0.5,200,14
59,is1,is1,139.08,2383.95,0.5,200,14
60,sse,sse,24.41,494.0,0.5,200,14
61,sse,crps,32.99,618.68,0.5,200,14
62,sse,dss,-268.38,-3426.0,0.5,200,14
63,sse,is1,135.42,2422.28,0.5,200,14
64,crps,sse,26.22,468.4,0.8,200,14
65,crps,crps,33.51,601.62,0.8,200,14
66,crps,dss,-252.59,-3562.83,0.8,200,14
67,crps,is1,141.02,2298.26,0.8,200,14
68,dss,sse,26.46,473.95,0.8,200,14
69,dss,crps,36.48,610.82,0.8,200,14
70,dss,dss,-251.17,-3567.34,0.8,200,14
71,dss,is1,146.72,2410.9,0.8,200,14
72,is1,sse,26.19,469.72,0.8,200,14
73,is1,crps,34.63,603.69,0.8,200,14
74,is1,dss,-248.54,-3573.61,0.8,200,14
75,is1,is1,139.4,2383.66,0.8,200,14
76,sse,sse,24.41,494.0,0.8,200,14
77,sse,crps,32.99,618.68,0.8,200,14
78,sse,dss,-268.38,-3426.0,0.8,200,14
79,sse,is1,135.42,2422.28,0.8,200,14
