,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,135.5,547.98,0.0,400,34
1,crps,crps,101.94,433.69,0.0,400,34
2,crps,dss,-276.63,-792.53,0.0,400,34
3,crps,is1,1265.54,5146.34,0.0,400,34
4,dss,sse,135.46,541.64,0.0,400,34
5,dss,crps,102.17,431.04,0.0,400,34
6,dss,dss,-286.76,-852.47,0.0,400,34
7,dss,is1,1265.11,5128.45,0.0,400,34
8,is1,sse,165.81,710.38,0.0,400,34
9,is1,crps,115.55,495.06,0.0,400,34
10,is1,dss,-131.28,-346.0,0.0,400,34
11,is1,is1,1268.6,5224.82,0.0,400,34
12,sse,sse,135.02,543.97,0.0,400,34
13,sse,crps,101.97,431.56,0.0,400,34
14,sse,dss,-285.04,-858.22,0.0,400,34
15,sse,is1,1264.5,5128.97,0.0,400,34
16,crps,sse,140.64,529.81,0.1,400,34
17,crps,crps,105.58,420.55,0.1,400,34
18,crps,dss,-243.49,-966.74,0.1,400,34
19,crps,is1,1271.94,5105.04,0.1,400,34
20,dss,sse,137.53,541.36,0.1,400,34
21,dss,crps,104.21,426.79,0.1,400,34
22,dss,dss,-261.99,-866.4,0.1,400,34
23,dss,is1,1270.0,5115.11,0.1,400,34
24,is1,sse,175.75,733.65,0.1,400,34
25,is1,crps,119.83,496.11,0.1,400,34
26,is1,dss,51.28,256.29,0.1,400,34
27,is1,is1,1282.37,5184.63,0.1,400,34
28,sse,sse,140.64,529.81,0.1,400,34
29,sse,crps,105.58,420.55,0.1,400,34
30,sse,dss,-243.49,-966.74,0.1,400,34
31,sse,is1,1271.94,5105.04,0.1,400,34
32,crps,sse,432.94,1760.32,0.3,400,34
33,crps,crps,212.53,861.75,0.3,400,34
34,crps,dss,237.69,958.06,0.3,400,34
35,crps,is1,1556.87,6228.37,0.3,400,34
36,dss,sse,432.94,1760.32,0.3,400,34
37,dss,crps,212.53,861.75,0.3,400,34
38,dss,dss,237.69,958.06,0.3,400,34
39,dss,is1,1556.87,6228.37,0.3,400,34
40,is1,sse,541.75,1874.74,0.3,400,34
41,is1,crps,233.33,881.13,0.3,400,34
42,is1,dss,515.23,1895.68,0.3,400,34
43,is1,is1,1531.51,6074.56,0.3,400,34
44,sse,sse,432.94,1760.32,0.3,400,34
45,sse,crps,212.53,861.75,0.3,400,34
46,sse,dss,237.69,958.06,0.3,400,34
47,sse,is1,1556.87,6228.37,0.3,400,34
48,crps,sse,432.94,1760.32,0.5,400,34
49,crps,crps,212.53,861.75,0.5,400,34
50,crps,dss,237.69,958.06,0.5,400,34
51,crps,is1,1556.87,6228.37,0.5,400,34
52,dss,sse,432.94,1760.32,0.5,400,34
53,dss,crps,212.53,861.75,0.5,400,34
54,dss,dss,237.69,958.06,0.5,400,34
55,dss,is1,1556.87,6228.37,0.5,400,34
56,is1,sse,541.75,1874.74,0.5,400,34
57,is1,crps,233.33,881.13,0.5,400,34
58,is1,dss,515.23,1895.68,0.5,400,34
59,is1,is1,1531.51,6074.56,0.5,400,34
60,sse,sse,432.94,1760.32,0.5,400,34
61,sse,crps,212.53,861.75,0.5,400,34
62,sse,dss,237.69,958.06,0.5,400,34
63,sse,is1,1556.87,6228.37,0.5,400,34
64,crps,sse,432.94,1760.32,0.8,400,34
65,crps,crps,212.53,861.75,0.8,400,34
66,crps,dss,237.69,958.06,0.8,400,34
67,crps,is1,1556.87,6228.37,0.8,400,34
68,dss,sse,432.94,1760.32,0.8,400,34
69,dss,crps,212.53,861.75,0.8,400,34
70,dss,dss,237.69,958.06,0.8,400,34
71,dss,is1,1556.87,6228.37,0.8,400,34
72,is1,sse,541.75,1874.74,0.8,400,34
73,is1,crps,233.33,881.13,0.8,400,34
74,is1,dss,515.23,1895.68,0.8,400,34
75,is1,is1,1531.51,6074.56,0.8,400,34
76,sse,sse,432.94,1760.32,0.8,400,34
77,sse,crps,212.53,861.75,0.8,400,34
78,sse,dss,237.69,958.06,0.8,400,34
79,sse,is1,1556.87,6228.37,0.8,400,34
