,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,210.97,461.16,0.0,1600,63
1,crps,crps,271.31,580.15,0.0,1600,63
2,crps,dss,-1963.51,-3656.65,0.0,1600,63
3,crps,is1,1079.54,2274.39,0.0,1600,63
4,dss,sse,208.88,467.58,0.0,1600,63
5,dss,crps,270.19,579.94,0.0,1600,63
6,dss,dss,-1989.1,-3652.22,0.0,1600,63
7,dss,is1,1076.49,2278.06,0.0,1600,63
8,is1,sse,210.35,462.24,0.0,1600,63
9,is1,crps,272.03,580.36,0.0,1600,63
10,is1,dss,-1968.34,-3648.46,0.0,1600,63
11,is1,is1,1074.01,2287.84,0.0,1600,63
12,sse,sse,205.88,471.3,0.0,1600,63
13,sse,crps,270.94,589.94,0.0,1600,63
14,sse,dss,-1966.64,-3565.89,0.0,1600,63
15,sse,is1,1085.75,2316.42,0.0,1600,63
16,crps,sse,211.07,460.91,0.1,1600,63
17,crps,crps,271.44,579.87,0.1,1600,63
18,crps,dss,-1962.59,-3659.16,0.1,1600,63
19,crps,is1,1079.55,2273.91,0.1,1600,63
20,dss,sse,210.21,462.53,0.1,1600,63
21,dss,crps,272.44,576.37,0.1,1600,63
22,dss,dss,-1967.62,-3695.18,0.1,1600,63
23,dss,is1,1085.29,2274.44,0.1,1600,63
24,is1,sse,210.57,461.05,0.1,1600,63
25,is1,crps,272.38,578.84,0.1,1600,63
26,is1,dss,-1966.18,-3660.32,0.1,1600,63
27,is1,is1,1074.95,2283.87,0.1,1600,63
28,sse,sse,206.16,472.1,0.1,1600,63
29,sse,crps,272.2,591.42,0.1,1600,63
30,sse,dss,-1946.7,-3553.19,0.1,1600,63
31,sse,is1,1091.04,2329.37,0.1,1600,63
32,crps,sse,211.96,458.41,0.3,1600,63
33,crps,crps,273.44,576.63,0.3,1600,63
34,crps,dss,-1952.32,-3687.22,0.3,1600,63
35,crps,is1,1084.89,2278.01,0.3,1600,63
36,dss,sse,215.19,461.04,0.3,1600,63
37,dss,crps,285.51,593.48,0.3,1600,63
38,dss,dss,-1928.72,-3680.04,0.3,1600,63
39,dss,is1,1148.12,2352.85,0.3,1600,63
40,is1,sse,211.2,460.34,0.3,1600,63
41,is1,crps,273.56,578.57,0.3,1600,63
42,is1,dss,-1950.48,-3680.35,0.3,1600,63
43,is1,is1,1082.51,2287.57,0.3,1600,63
44,sse,sse,206.69,469.47,0.3,1600,63
45,sse,crps,272.91,588.63,0.3,1600,63
46,sse,dss,-1941.34,-3579.47,0.3,1600,63
47,sse,is1,1092.16,2325.84,0.3,1600,63
48,crps,sse,212.28,458.34,0.5,1600,63
49,crps,crps,274.13,577.87,0.5,1600,63
50,crps,dss,-1944.51,-3689.47,0.5,1600,63
51,crps,is1,1085.94,2281.52,0.5,1600,63
52,dss,sse,215.19,461.04,0.5,1600,63
53,dss,crps,285.51,593.48,0.5,1600,63
54,dss,dss,-1928.72,-3680.04,0.5,1600,63
55,dss,is1,1148.12,2352.85,0.5,1600,63
56,is1,sse,212.28,458.34,0.5,1600,63
57,is1,crps,274.13,577.87,0.5,1600,63
58,is1,dss,-1944.51,-3689.47,0.5,1600,63
59,is1,is1,1085.94,2281.52,0.5,1600,63
60,sse,sse,207.47,464.8,0.5,1600,63
61,sse,crps,274.04,588.59,0.5,1600,63
62,sse,dss,-1933.28,-3572.36,0.5,1600,63
63,sse,is1,1092.16,2324.37,0.5,1600,63
64,crps,sse,212.28,458.34,0.8,1600,63
65,crps,crps,274.13,577.87,0.8,1600,63
66,crps,dss,-1944.51,-3689.47,0.8,1600,63
67,crps,is1,1085.94,2281.52,0.8,1600,63
68,dss,sse,217.38,467.04,0.8,1600,63
69,dss,crps,296.73,620.13,0.8,1600,63
70,dss,dss,-1794.71,-3385.06,0.8,1600,63
71,dss,is1,1187.56,2473.62,0.8,1600,63
72,is1,sse,212.28,458.34,0.8,1600,63
73,is1,crps,274.13,577.87,0.8,1600,63
74,is1,dss,-1944.51,-3689.47,0.8,1600,63
75,is1,is1,1085.94,2281.52,0.8,1600,63
76,sse,sse,212.67,460.19,0.8,1600,63
77,sse,crps,281.31,596.04,0.8,1600,63
78,sse,dss,-1857.06,-3492.61,0.8,1600,63
79,sse,is1,1117.34,2357.01,0.8,1600,63
