,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,243.93,561.19,0.0,800,25
1,crps,crps,200.06,435.89,0.0,800,25
2,crps,dss,-596.99,-941.8,0.0,800,25
3,crps,is1,2455.42,5204.14,0.0,800,25
4,dss,sse,196.15,374.04,0.0,800,25
5,dss,crps,191.66,389.05,0.0,800,25
6,dss,dss,-562.03,-1246.1,0.0,800,25
7,dss,is1,2442.66,5093.19,0.0,800,25
8,is1,sse,242.99,557.87,0.0,800,25
9,is1,crps,199.42,435.48,0.0,800,25
10,is1,dss,-607.09,-940.19,0.0,800,25
11,is1,is1,2448.82,5192.62,0.0,800,25
12,sse,sse,243.82,560.31,0.0,800,25
13,sse,crps,200.26,434.47,0.0,800,25
14,sse,dss,-596.54,-938.63,0.0,800,25
15,sse,is1,2455.14,5204.51,0.0,800,25
16,crps,sse,285.39,628.61,0.1,800,25
17,crps,crps,212.31,446.12,0.1,800,25
18,crps,dss,-172.14,-177.43,0.1,800,25
19,crps,is1,2464.25,5178.71,0.1,800,25
20,dss,sse,197.43,371.03,0.1,800,25
21,dss,crps,193.29,385.73,0.1,800,25
22,dss,dss,-553.45,-1262.93,0.1,800,25
23,dss,is1,2449.49,5081.69,0.1,800,25
24,is1,sse,285.39,628.61,0.1,800,25
25,is1,crps,212.31,446.12,0.1,800,25
26,is1,dss,-172.14,-177.43,0.1,800,25
27,is1,is1,2464.25,5178.71,0.1,800,25
28,sse,sse,285.39,628.61,0.1,800,25
29,sse,crps,212.31,446.12,0.1,800,25
30,sse,dss,-172.14,-177.43,0.1,800,25
31,sse,is1,2464.25,5178.71,0.1,800,25
32,crps,sse,834.1,1689.0,0.3,800,25
33,crps,crps,418.19,840.45,0.3,800,25
34,crps,dss,795.96,1616.73,0.3,800,25
35,crps,is1,2955.43,6051.16,0.3,800,25
36,dss,sse,197.43,371.03,0.3,800,25
37,dss,crps,193.29,385.73,0.3,800,25
38,dss,dss,-553.45,-1262.93,0.3,800,25
39,dss,is1,2449.49,5081.69,0.3,800,25
40,is1,sse,285.39,628.61,0.3,800,25
41,is1,crps,212.31,446.12,0.3,800,25
42,is1,dss,-172.14,-177.43,0.3,800,25
43,is1,is1,2464.25,5178.71,0.3,800,25
44,sse,sse,834.1,1689.0,0.3,800,25
45,sse,crps,418.19,840.45,0.3,800,25
46,sse,dss,795.96,1616.73,0.3,800,25
47,sse,is1,2955.43,6051.16,0.3,800,25
48,crps,sse,834.1,1689.0,0.5,800,25
49,crps,crps,418.19,840.45,0.5,800,25
50,crps,dss,795.96,1616.73,0.5,800,25
51,crps,is1,2955.43,6051.16,0.5,800,25
52,dss,sse,1080.08,2170.84,0.5,800,25
53,dss,crps,475.61,957.78,0.5,800,25
54,dss,dss,682.68,1313.42,0.5,800,25
55,dss,is1,3184.65,6530.32,0.5,800,25
56,is1,sse,834.1,1689.0,0.5,800,25
57,is1,crps,418.19,840.45,0.5,800,25
58,is1,dss,795.96,1616.73,0.5,800,25
59,is1,is1,2955.43,6051.16,0.5,800,25
60,sse,sse,834.1,1689.0,0.5,800,25
61,sse,crps,418.19,840.45,0.5,800,25
62,sse,dss,795.96,1616.73,0.5,800,25
63,sse,is1,2955.43,6051.16,0.5,800,25
64,crps,sse,834.1,1689.0,0.8,800,25
65,crps,crps,418.19,840.45,0.8,800,25
66,crps,dss,795.96,1616.73,0.8,800,25
67,crps,is1,2955.43,6051.16,0.8,800,25
68,dss,sse,1080.08,2170.84,0.8,800,25
69,dss,crps,475.61,957.78,0.8,800,25
70,dss,dss,682.68,1313.42,0.8,800,25
71,dss,is1,3184.65,6530.32,0.8,800,25
72,is1,sse,834.1,1689.0,0.8,800,25
73,is1,crps,418.19,840.45,0.8,800,25
74,is1,dss,795.96,1616.73,0.8,800,25
75,is1,is1,2955.43,6051.16,0.8,800,25
76,sse,sse,834.1,1689.0,0.8,800,25
77,sse,crps,418.19,840.45,0.8,800,25
78,sse,dss,795.96,1616.73,0.8,800,25
79,sse,is1,2955.43,6051.16,0.8,800,25
