,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,26.32,467.26,0.0,200,22
1,crps,crps,33.03,591.78,0.0,200,22
2,crps,dss,-243.91,-3593.53,0.0,200,22
3,crps,is1,143.44,2330.06,0.0,200,22
4,dss,sse,25.29,486.22,0.0,200,22
5,dss,crps,32.44,609.82,0.0,200,22
6,dss,dss,-251.81,-3263.14,0.0,200,22
7,dss,is1,142.35,2386.6,0.0,200,22
8,is1,sse,26.38,468.77,0.0,200,22
9,is1,crps,32.95,600.45,0.0,200,22
10,is1,dss,-244.66,-3511.6,0.0,200,22
11,is1,is1,142.8,2345.01,0.0,200,22
12,sse,sse,24.72,489.96,0.0,200,22
13,sse,crps,32.6,607.42,0.0,200,22
14,sse,dss,-253.18,-3423.45,0.0,200,22
15,sse,is1,140.71,2429.17,0.0,200,22
16,crps,sse,26.32,467.26,0.1,200,22
17,crps,crps,33.03,591.78,0.1,200,22
18,crps,dss,-243.91,-3593.53,0.1,200,22
19,crps,is1,143.44,2330.06,0.1,200,22
20,dss,sse,25.29,486.22,0.1,200,22
21,dss,crps,32.44,609.82,0.1,200,22
22,dss,dss,-251.81,-3263.14,0.1,200,22
23,dss,is1,142.35,2386.6,0.1,200,22
24,is1,sse,26.38,468.77,0.1,200,22
25,is1,crps,32.95,600.45,0.1,200,22
26,is1,dss,-244.66,-3511.6,0.1,200,22
27,is1,is1,142.8,2345.01,0.1,200,22
28,sse,sse,24.72,489.96,0.1,200,22
29,sse,crps,32.6,607.42,0.1,200,22
30,sse,dss,-253.18,-3423.45,0.1,200,22
31,sse,is1,140.71,2429.17,0.1,200,22
32,crps,sse,26.32,467.26,0.3,200,22
33,crps,crps,33.03,591.78,0.3,200,22
34,crps,dss,-243.91,-3593.53,0.3,200,22
35,crps,is1,143.44,2330.06,0.3,200,22
36,dss,sse,25.5,481.79,0.3,200,22
37,dss,crps,32.7,604.82,0.3,200,22
38,dss,dss,-249.39,-3336.73,0.3,200,22
39,dss,is1,142.95,2367.79,0.3,200,22
40,is1,sse,26.38,468.77,0.3,200,22
41,is1,crps,32.95,600.45,0.3,200,22
42,is1,dss,-244.66,-3511.6,0.3,200,22
43,is1,is1,142.8,2345.01,0.3,200,22
44,sse,sse,24.76,492.35,0.3,200,22
45,sse,crps,32.88,609.21,0.3,200,22
46,sse,dss,-251.15,-3350.06,0.3,200,22
47,sse,is1,140.71,2428.67,0.3,200,22
48,crps,sse,26.43,466.7,0.5,200,22
49,crps,crps,33.13,591.13,0.5,200,22
50,crps,dss,-240.37,-3618.54,0.5,200,22
51,crps,is1,143.81,2339.71,0.5,200,22
52,dss,sse,27.32,463.94,0.5,200,22
53,dss,crps,34.76,596.45,0.5,200,22
54,dss,dss,-231.59,-3514.91,0.5,200,22
55,dss,is1,149.78,2335.73,0.5,200,22
56,is1,sse,26.43,468.28,0.5,200,22
57,is1,crps,33.01,599.78,0.5,200,22
58,is1,dss,-244.18,-3516.54,0.5,200,22
59,is1,is1,142.95,2344.47,0.5,200,22
60,sse,sse,24.76,492.35,0.5,200,22
61,sse,crps,32.88,609.21,0.5,200,22
62,sse,dss,-251.15,-3350.06,0.5,200,22
63,sse,is1,140.71,2428.67,0.5,200,22
64,crps,sse,26.43,466.65,0.8,200,22
65,crps,crps,33.21,589.45,0.8,200,22
66,crps,dss,-240.3,-3619.02,0.8,200,22
67,crps,is1,143.9,2338.64,0.8,200,22
68,dss,sse,27.93,466.16,0.8,200,22
69,dss,crps,36.66,615.92,0.8,200,22
70,dss,dss,-225.53,-3492.79,0.8,200,22
71,dss,is1,160.22,2428.83,0.8,200,22
72,is1,sse,26.79,468.15,0.8,200,22
73,is1,crps,33.69,598.82,0.8,200,22
74,is1,dss,-232.0,-3461.79,0.8,200,22
75,is1,is1,143.75,2386.75,0.8,200,22
76,sse,sse,25.07,487.77,0.8,200,22
77,sse,crps,33.35,602.66,0.8,200,22
78,sse,dss,-247.59,-3395.6,0.8,200,22
79,sse,is1,142.9,2399.61,0.8,200,22
