,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,126.23,481.33,0.0,400,14
1,crps,crps,101.3,414.02,0.0,400,14
2,crps,dss,-298.66,-1134.6,0.0,400,14
3,crps,is1,1346.31,5202.71,0.0,400,14
4,dss,sse,151.75,594.02,0.0,400,14
5,dss,crps,111.17,453.49,0.0,400,14
6,dss,dss,-229.15,-723.0,0.0,400,14
7,dss,is1,1389.58,5364.56,0.0,400,14
8,is1,sse,147.21,604.81,0.0,400,14
9,is1,crps,108.36,458.73,0.0,400,14
10,is1,dss,-201.95,-715.24,0.0,400,14
11,is1,is1,1347.6,5264.37,0.0,400,14
12,sse,sse,132.93,551.04,0.0,400,14
13,sse,crps,104.0,438.26,0.0,400,14
14,sse,dss,-277.03,-953.29,0.0,400,14
15,sse,is1,1349.63,5251.3,0.0,400,14
16,crps,sse,133.3,504.46,0.1,400,14
17,crps,crps,104.72,413.49,0.1,400,14
18,crps,dss,-217.81,-897.97,0.1,400,14
19,crps,is1,1364.08,5190.84,0.1,400,14
20,dss,sse,154.11,582.67,0.1,400,14
21,dss,crps,113.2,445.2,0.1,400,14
22,dss,dss,-202.14,-860.05,0.1,400,14
23,dss,is1,1400.63,5333.61,0.1,400,14
24,is1,sse,155.38,627.56,0.1,400,14
25,is1,crps,111.74,458.76,0.1,400,14
26,is1,dss,-112.66,-359.59,0.1,400,14
27,is1,is1,1361.31,5215.53,0.1,400,14
28,sse,sse,352.17,1559.81,0.1,400,14
29,sse,crps,189.03,814.3,0.1,400,14
30,sse,dss,127.58,764.94,0.1,400,14
31,sse,is1,1555.36,6084.69,0.1,400,14
32,crps,sse,352.17,1559.81,0.3,400,14
33,crps,crps,189.03,814.3,0.3,400,14
34,crps,dss,127.58,764.94,0.3,400,14
35,crps,is1,1555.36,6084.69,0.3,400,14
36,dss,sse,352.17,1559.81,0.3,400,14
37,dss,crps,189.03,814.3,0.3,400,14
38,dss,dss,127.58,764.94,0.3,400,14
39,dss,is1,1555.36,6084.69,0.3,400,14
40,is1,sse,352.17,1559.81,0.3,400,14
41,is1,crps,189.03,814.3,0.3,400,14
42,is1,dss,127.58,764.94,0.3,400,14
43,is1,is1,1555.36,6084.69,0.3,400,14
44,sse,sse,352.17,1559.81,0.3,400,14
45,sse,crps,189.03,814.3,0.3,400,14
46,sse,dss,127.58,764.94,0.3,400,14
47,sse,is1,1555.36,6084.69,0.3,400,14
48,crps,sse,352.17,1559.81,0.5,400,14
49,crps,crps,189.03,814.3,0.5,400,14
50,crps,dss,127.58,764.94,0.5,400,14
51,crps,is1,1555.36,6084.69,0.5,400,14
52,dss,sse,352.17,1559.81,0.5,400,14
53,dss,crps,189.03,814.3,0.5,400,14
54,dss,dss,127.58,764.94,0.5,400,14
55,dss,is1,1555.36,6084.69,0.5,400,14
56,is1,sse,352.17,1559.81,0.5,400,14
57,is1,crps,189.03,814.3,0.5,400,14
58,is1,dss,127.58,764.94,0.5,400,14
59,is1,is1,1555.36,6084.69,0.5,400,14
60,sse,sse,352.17,1559.81,0.5,400,14
61,sse,crps,189.03,814.3,0.5,400,14
62,sse,dss,127.58,764.94,0.5,400,14
63,sse,is1,1555.36,6084.69,0.5,400,14
64,crps,sse,352.17,1559.81,0.8,400,14
65,crps,crps,189.03,814.3,0.8,400,14
66,crps,dss,127.58,764.94,0.8,400,14
67,crps,is1,1555.36,6084.69,0.8,400,14
68,dss,sse,352.17,1559.81,0.8,400,14
69,dss,crps,189.03,814.3,0.8,400,14
70,dss,dss,127.58,764.94,0.8,400,14
71,dss,is1,1555.36,6084.69,0.8,400,14
72,is1,sse,352.17,1559.81,0.8,400,14
73,is1,crps,189.03,814.3,0.8,400,14
74,is1,dss,127.58,764.94,0.8,400,14
75,is1,is1,1555.36,6084.69,0.8,400,14
76,sse,sse,352.17,1559.81,0.8,400,14
77,sse,crps,189.03,814.3,0.8,400,14
78,sse,dss,127.58,764.94,0.8,400,14
79,sse,is1,1555.36,6084.69,0.8,400,14
