,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,112.17,688.68,0.0,400,21
1,crps,crps,98.32,491.61,0.0,400,21
2,crps,dss,-302.58,-198.1,0.0,400,21
3,crps,is1,1269.72,5333.49,0.0,400,21
4,dss,sse,110.63,606.51,0.0,400,21
5,dss,crps,98.6,454.3,0.0,400,21
6,dss,dss,-327.44,-867.51,0.0,400,21
7,dss,is1,1277.38,5319.08,0.0,400,21
8,is1,sse,112.11,689.23,0.0,400,21
9,is1,crps,98.16,492.69,0.0,400,21
10,is1,dss,-303.25,-192.59,0.0,400,21
11,is1,is1,1269.21,5338.12,0.0,400,21
12,sse,sse,111.87,691.45,0.0,400,21
13,sse,crps,98.7,490.37,0.0,400,21
14,sse,dss,-307.63,-166.12,0.0,400,21
15,sse,is1,1270.98,5343.15,0.0,400,21
16,crps,sse,137.44,768.07,0.1,400,21
17,crps,crps,107.55,499.69,0.1,400,21
18,crps,dss,-137.36,8.25,0.1,400,21
19,crps,is1,1300.99,5338.42,0.1,400,21
20,dss,sse,113.77,591.71,0.1,400,21
21,dss,crps,100.91,445.76,0.1,400,21
22,dss,dss,-307.92,-940.9,0.1,400,21
23,dss,is1,1290.05,5285.91,0.1,400,21
24,is1,sse,122.74,706.11,0.1,400,21
25,is1,crps,103.99,488.88,0.1,400,21
26,is1,dss,-219.61,-384.06,0.1,400,21
27,is1,is1,1287.14,5284.28,0.1,400,21
28,sse,sse,137.44,768.07,0.1,400,21
29,sse,crps,107.55,499.69,0.1,400,21
30,sse,dss,-137.36,8.25,0.1,400,21
31,sse,is1,1300.99,5338.42,0.1,400,21
32,crps,sse,378.59,1622.93,0.3,400,21
33,crps,crps,202.25,829.86,0.3,400,21
34,crps,dss,187.31,831.03,0.3,400,21
35,crps,is1,1507.88,6126.34,0.3,400,21
36,dss,sse,378.59,1622.93,0.3,400,21
37,dss,crps,202.25,829.86,0.3,400,21
38,dss,dss,187.31,831.03,0.3,400,21
39,dss,is1,1507.88,6126.34,0.3,400,21
40,is1,sse,378.59,1622.93,0.3,400,21
41,is1,crps,202.25,829.86,0.3,400,21
42,is1,dss,187.31,831.03,0.3,400,21
43,is1,is1,1507.88,6126.34,0.3,400,21
44,sse,sse,378.59,1622.93,0.3,400,21
45,sse,crps,202.25,829.86,0.3,400,21
46,sse,dss,187.31,831.03,0.3,400,21
47,sse,is1,1507.88,6126.34,0.3,400,21
48,crps,sse,378.59,1622.93,0.5,400,21
49,crps,crps,202.25,829.86,0.5,400,21
50,crps,dss,187.31,831.03,0.5,400,21
51,crps,is1,1507.88,6126.34,0.5,400,21
52,dss,sse,378.59,1622.93,0.5,400,21
53,dss,crps,202.25,829.86,0.5,400,21
54,dss,dss,187.31,831.03,0.5,400,21
55,dss,is1,1507.88,6126.34,0.5,400,21
56,is1,sse,378.59,1622.93,0.5,400,21
57,is1,crps,202.25,829.86,0.5,400,21
58,is1,dss,187.31,831.03,0.5,400,21
59,is1,is1,1507.88,6126.34,0.5,400,21
60,sse,sse,378.59,1622.93,0.5,400,21
61,sse,crps,202.25,829.86,0.5,400,21
62,sse,dss,187.31,831.03,0.5,400,21
63,sse,is1,1507.88,6126.34,0.5,400,21
64,crps,sse,378.59,1622.93,0.8,400,21
65,crps,crps,202.25,829.86,0.8,400,21
66,crps,dss,187.31,831.03,0.8,400,21
67,crps,is1,1507.88,6126.34,0.8,400,21
68,dss,sse,378.59,1622.93,0.8,400,21
69,dss,crps,202.25,829.86,0.8,400,21
70,dss,dss,187.31,831.03,0.8,400,21
71,dss,is1,1507.88,6126.34,0.8,400,21
72,is1,sse,378.59,1622.93,0.8,400,21
73,is1,crps,202.25,829.86,0.8,400,21
74,is1,dss,187.31,831.03,0.8,400,21
75,is1,is1,1507.88,6126.34,0.8,400,21
76,sse,sse,378.59,1622.93,0.8,400,21
77,sse,crps,202.25,829.86,0.8,400,21
78,sse,dss,187.31,831.03,0.8,400,21
79,sse,is1,1507.88,6126.34,0.8,400,21
