,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,101.84,469.74,0.0,800,22
1,crps,crps,132.81,581.18,0.0,800,22
2,crps,dss,-1014.66,-3678.28,0.0,800,22
3,crps,is1,555.29,2276.19,0.0,800,22
4,dss,sse,102.62,470.37,0.0,800,22
5,dss,crps,133.98,582.11,0.0,800,22
6,dss,dss,-1025.07,-3575.13,0.0,800,22
7,dss,is1,556.57,2302.84,0.0,800,22
8,is1,sse,103.09,465.55,0.0,800,22
9,is1,crps,134.08,579.37,0.0,800,22
10,is1,dss,-1013.98,-3601.59,0.0,800,22
11,is1,is1,553.81,2285.79,0.0,800,22
12,sse,sse,101.58,470.91,0.0,800,22
13,sse,crps,133.22,584.06,0.0,800,22
14,sse,dss,-1015.4,-3549.14,0.0,800,22
15,sse,is1,557.75,2303.59,0.0,800,22
16,crps,sse,101.97,469.32,0.1,800,22
17,crps,crps,133.0,580.51,0.1,800,22
18,crps,dss,-1013.29,-3682.48,0.1,800,22
19,crps,is1,555.56,2273.28,0.1,800,22
20,dss,sse,104.42,463.3,0.1,800,22
21,dss,crps,135.77,576.22,0.1,800,22
22,dss,dss,-1012.63,-3627.92,0.1,800,22
23,dss,is1,561.8,2278.64,0.1,800,22
24,is1,sse,103.85,462.25,0.1,800,22
25,is1,crps,134.89,576.56,0.1,800,22
26,is1,dss,-998.19,-3665.6,0.1,800,22
27,is1,is1,558.92,2274.43,0.1,800,22
28,sse,sse,101.73,470.44,0.1,800,22
29,sse,crps,133.4,583.44,0.1,800,22
30,sse,dss,-1013.93,-3553.82,0.1,800,22
31,sse,is1,558.06,2301.18,0.1,800,22
32,crps,sse,103.05,467.67,0.3,800,22
33,crps,crps,134.47,577.69,0.3,800,22
34,crps,dss,-1001.0,-3705.73,0.3,800,22
35,crps,is1,563.22,2264.39,0.3,800,22
36,dss,sse,105.03,460.13,0.3,800,22
37,dss,crps,136.19,573.98,0.3,800,22
38,dss,dss,-989.25,-3680.39,0.3,800,22
39,dss,is1,565.03,2264.58,0.3,800,22
40,is1,sse,104.37,461.29,0.3,800,22
41,is1,crps,135.36,575.58,0.3,800,22
42,is1,dss,-995.86,-3669.16,0.3,800,22
43,is1,is1,560.39,2272.21,0.3,800,22
44,sse,sse,102.91,467.56,0.3,800,22
45,sse,crps,134.84,579.98,0.3,800,22
46,sse,dss,-995.09,-3613.23,0.3,800,22
47,sse,is1,565.17,2287.64,0.3,800,22
48,crps,sse,103.05,467.67,0.5,800,22
49,crps,crps,134.47,577.69,0.5,800,22
50,crps,dss,-1001.0,-3705.73,0.5,800,22
51,crps,is1,563.22,2264.39,0.5,800,22
52,dss,sse,108.27,463.23,0.5,800,22
53,dss,crps,144.32,598.35,0.5,800,22
54,dss,dss,-953.7,-3640.68,0.5,800,22
55,dss,is1,599.05,2375.21,0.5,800,22
56,is1,sse,105.03,460.13,0.5,800,22
57,is1,crps,136.19,573.98,0.5,800,22
58,is1,dss,-989.25,-3680.39,0.5,800,22
59,is1,is1,565.03,2264.58,0.5,800,22
60,sse,sse,102.91,467.56,0.5,800,22
61,sse,crps,134.84,579.98,0.5,800,22
62,sse,dss,-995.09,-3613.23,0.5,800,22
63,sse,is1,565.17,2287.64,0.5,800,22
64,crps,sse,103.96,463.41,0.8,800,22
65,crps,crps,135.09,574.42,0.8,800,22
66,crps,dss,-997.75,-3727.25,0.8,800,22
67,crps,is1,563.38,2262.91,0.8,800,22
68,dss,sse,108.27,463.23,0.8,800,22
69,dss,crps,144.32,598.35,0.8,800,22
70,dss,dss,-953.7,-3640.68,0.8,800,22
71,dss,is1,599.05,2375.21,0.8,800,22
72,is1,sse,105.03,460.13,0.8,800,22
73,is1,crps,136.19,573.98,0.8,800,22
74,is1,dss,-989.25,-3680.39,0.8,800,22
75,is1,is1,565.03,2264.58,0.8,800,22
76,sse,sse,102.91,467.56,0.8,800,22
77,sse,crps,134.84,579.98,0.8,800,22
78,sse,dss,-995.09,-3613.23,0.8,800,22
79,sse,is1,565.17,2287.64,0.8,800,22
