,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,69.65,56.06,0.0,0
1,crps,crps,36.93,32.08,0.0,0
2,crps,dss,29.61,-20.52,0.0,0
3,crps,is1,354.12,350.83,0.0,0
4,dss,sse,67.7,62.1,0.0,0
5,dss,crps,37.04,34.46,0.0,0
6,dss,dss,25.91,-16.71,0.0,0
7,dss,is1,349.43,351.44,0.0,0
8,is1,sse,55.9,48.95,0.0,0
9,is1,crps,33.92,29.76,0.0,0
10,is1,dss,37.43,-21.31,0.0,0
11,is1,is1,329.38,326.12,0.0,0
12,sse,sse,69.65,56.06,0.0,0
13,sse,crps,36.93,32.08,0.0,0
14,sse,dss,29.61,-20.52,0.0,0
15,sse,is1,354.12,350.83,0.0,0
16,crps,sse,69.65,56.06,0.1,0
17,crps,crps,36.93,32.08,0.1,0
18,crps,dss,29.61,-20.52,0.1,0
19,crps,is1,354.12,350.83,0.1,0
20,dss,sse,67.7,62.1,0.1,0
21,dss,crps,37.04,34.46,0.1,0
22,dss,dss,25.91,-16.71,0.1,0
23,dss,is1,349.43,351.44,0.1,0
24,is1,sse,55.39,50.32,0.1,0
25,is1,crps,33.65,30.47,0.1,0
26,is1,dss,50.44,13.56,0.1,0
27,is1,is1,329.56,326.86,0.1,0
28,sse,sse,69.65,56.06,0.1,0
29,sse,crps,36.93,32.08,0.1,0
30,sse,dss,29.61,-20.52,0.1,0
31,sse,is1,354.12,350.83,0.1,0
32,crps,sse,112.63,104.34,0.3,0
33,crps,crps,54.55,50.81,0.3,0
34,crps,dss,64.03,41.0,0.3,0
35,crps,is1,383.74,398.82,0.3,0
36,dss,sse,90.18,77.94,0.3,0
37,dss,crps,47.52,42.44,0.3,0
38,dss,dss,50.53,-0.35,0.3,0
39,dss,is1,362.21,363.77,0.3,0
40,is1,sse,55.39,50.32,0.3,0
41,is1,crps,33.65,30.47,0.3,0
42,is1,dss,50.44,13.56,0.3,0
43,is1,is1,329.56,326.86,0.3,0
44,sse,sse,112.63,104.34,0.3,0
45,sse,crps,54.55,50.81,0.3,0
46,sse,dss,64.03,41.0,0.3,0
47,sse,is1,383.74,398.82,0.3,0
48,crps,sse,112.63,104.34,0.5,0
49,crps,crps,54.55,50.81,0.5,0
50,crps,dss,64.03,41.0,0.5,0
51,crps,is1,383.74,398.82,0.5,0
52,dss,sse,112.63,104.34,0.5,0
53,dss,crps,54.55,50.81,0.5,0
54,dss,dss,64.03,41.0,0.5,0
55,dss,is1,383.74,398.82,0.5,0
56,is1,sse,107.16,110.9,0.5,0
57,is1,crps,53.29,52.99,0.5,0
58,is1,dss,105.91,109.68,0.5,0
59,is1,is1,369.81,389.92,0.5,0
60,sse,sse,112.63,104.34,0.5,0
61,sse,crps,54.55,50.81,0.5,0
62,sse,dss,64.03,41.0,0.5,0
63,sse,is1,383.74,398.82,0.5,0
64,crps,sse,112.63,104.34,0.8,0
65,crps,crps,54.55,50.81,0.8,0
66,crps,dss,64.03,41.0,0.8,0
67,crps,is1,383.74,398.82,0.8,0
68,dss,sse,112.63,104.34,0.8,0
69,dss,crps,54.55,50.81,0.8,0
70,dss,dss,64.03,41.0,0.8,0
71,dss,is1,383.74,398.82,0.8,0
72,is1,sse,107.16,110.9,0.8,0
73,is1,crps,53.29,52.99,0.8,0
74,is1,dss,105.91,109.68,0.8,0
75,is1,is1,369.81,389.92,0.8,0
76,sse,sse,112.63,104.34,0.8,0
77,sse,crps,54.55,50.81,0.8,0
78,sse,dss,64.03,41.0,0.8,0
79,sse,is1,383.74,398.82,0.8,0
0,crps,sse,88.3,38.35,0.0,1
1,crps,crps,42.76,26.36,0.0,1
2,crps,dss,88.93,-16.91,0.0,1
3,crps,is1,350.01,328.47,0.0,1
4,dss,sse,103.28,86.34,0.0,1
5,dss,crps,47.48,37.62,0.0,1
6,dss,dss,101.51,-3.32,0.0,1
7,dss,is1,380.43,381.29,0.0,1
8,is1,sse,90.64,36.72,0.0,1
9,is1,crps,44.28,25.68,0.0,1
10,is1,dss,169.45,-20.64,0.0,1
11,is1,is1,342.97,325.6,0.0,1
12,sse,sse,88.3,38.35,0.0,1
13,sse,crps,42.76,26.36,0.0,1
14,sse,dss,88.93,-16.91,0.0,1
15,sse,is1,350.01,328.47,0.0,1
16,crps,sse,88.3,38.35,0.1,1
17,crps,crps,42.76,26.36,0.1,1
18,crps,dss,88.93,-16.91,0.1,1
19,crps,is1,350.01,328.47,0.1,1
20,dss,sse,103.28,86.34,0.1,1
21,dss,crps,47.48,37.62,0.1,1
22,dss,dss,101.51,-3.32,0.1,1
23,dss,is1,380.43,381.29,0.1,1
24,is1,sse,90.64,36.72,0.1,1
25,is1,crps,44.28,25.68,0.1,1
26,is1,dss,169.45,-20.64,0.1,1
27,is1,is1,342.97,325.6,0.1,1
28,sse,sse,88.3,38.35,0.1,1
29,sse,crps,42.76,26.36,0.1,1
30,sse,dss,88.93,-16.91,0.1,1
31,sse,is1,350.01,328.47,0.1,1
32,crps,sse,133.97,101.69,0.3,1
33,crps,crps,59.65,50.75,0.3,1
34,crps,dss,148.85,97.73,0.3,1
35,crps,is1,381.08,381.63,0.3,1
36,dss,sse,133.74,131.14,0.3,1
37,dss,crps,58.89,57.47,0.3,1
38,dss,dss,76.8,67.93,0.3,1
39,dss,is1,403.61,412.96,0.3,1
40,is1,sse,133.97,101.69,0.3,1
41,is1,crps,59.65,50.75,0.3,1
42,is1,dss,148.85,97.73,0.3,1
43,is1,is1,381.08,381.63,0.3,1
44,sse,sse,133.97,101.69,0.3,1
45,sse,crps,59.65,50.75,0.3,1
46,sse,dss,148.85,97.73,0.3,1
47,sse,is1,381.08,381.63,0.3,1
48,crps,sse,133.97,101.69,0.5,1
49,crps,crps,59.65,50.75,0.5,1
50,crps,dss,148.85,97.73,0.5,1
51,crps,is1,381.08,381.63,0.5,1
52,dss,sse,133.74,131.14,0.5,1
53,dss,crps,58.89,57.47,0.5,1
54,dss,dss,76.8,67.93,0.5,1
55,dss,is1,403.61,412.96,0.5,1
56,is1,sse,133.97,101.69,0.5,1
57,is1,crps,59.65,50.75,0.5,1
58,is1,dss,148.85,97.73,0.5,1
59,is1,is1,381.08,381.63,0.5,1
60,sse,sse,133.97,101.69,0.5,1
61,sse,crps,59.65,50.75,0.5,1
62,sse,dss,148.85,97.73,0.5,1
63,sse,is1,381.08,381.63,0.5,1
64,crps,sse,133.97,101.69,0.8,1
65,crps,crps,59.65,50.75,0.8,1
66,crps,dss,148.85,97.73,0.8,1
67,crps,is1,381.08,381.63,0.8,1
68,dss,sse,133.74,131.14,0.8,1
69,dss,crps,58.89,57.47,0.8,1
70,dss,dss,76.8,67.93,0.8,1
71,dss,is1,403.61,412.96,0.8,1
72,is1,sse,133.97,101.69,0.8,1
73,is1,crps,59.65,50.75,0.8,1
74,is1,dss,148.85,97.73,0.8,1
75,is1,is1,381.08,381.63,0.8,1
76,sse,sse,133.97,101.69,0.8,1
77,sse,crps,59.65,50.75,0.8,1
78,sse,dss,148.85,97.73,0.8,1
79,sse,is1,381.08,381.63,0.8,1
0,crps,sse,63.28,25.94,0.0,2
1,crps,crps,39.29,24.06,0.0,2
2,crps,dss,53.23,-60.33,0.0,2
3,crps,is1,347.18,323.09,0.0,2
4,dss,sse,78.74,26.61,0.0,2
5,dss,crps,43.47,24.53,0.0,2
6,dss,dss,140.99,-64.5,0.0,2
7,dss,is1,355.18,328.27,0.0,2
8,is1,sse,83.52,26.2,0.0,2
9,is1,crps,45.73,24.54,0.0,2
10,is1,dss,106.13,-59.9,0.0,2
11,is1,is1,355.28,322.38,0.0,2
12,sse,sse,63.28,25.94,0.0,2
13,sse,crps,39.29,24.06,0.0,2
14,sse,dss,53.23,-60.33,0.0,2
15,sse,is1,347.18,323.09,0.0,2
16,crps,sse,63.28,25.94,0.1,2
17,crps,crps,39.29,24.06,0.1,2
18,crps,dss,53.23,-60.33,0.1,2
19,crps,is1,347.18,323.09,0.1,2
20,dss,sse,78.74,26.61,0.1,2
21,dss,crps,43.47,24.53,0.1,2
22,dss,dss,140.99,-64.5,0.1,2
23,dss,is1,355.18,328.27,0.1,2
24,is1,sse,83.52,26.2,0.1,2
25,is1,crps,45.73,24.54,0.1,2
26,is1,dss,106.13,-59.9,0.1,2
27,is1,is1,355.28,322.38,0.1,2
28,sse,sse,101.23,80.35,0.1,2
29,sse,crps,52.24,45.47,0.1,2
30,sse,dss,52.33,21.96,0.1,2
31,sse,is1,379.8,378.05,0.1,2
