,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,42.18,19.2,0.0,0
1,crps,crps,43.07,28.69,0.0,0
2,crps,dss,-124.26,-293.31,0.0,0
3,crps,is1,177.63,115.01,0.0,0
4,dss,sse,41.9,18.81,0.0,0
5,dss,crps,42.7,28.93,0.0,0
6,dss,dss,-126.0,-298.46,0.0,0
7,dss,is1,178.11,114.17,0.0,0
8,is1,sse,42.53,19.61,0.0,0
9,is1,crps,43.38,29.47,0.0,0
10,is1,dss,-140.04,-285.33,0.0,0
11,is1,is1,179.88,113.95,0.0,0
12,sse,sse,43.05,18.87,0.0,0
13,sse,crps,43.7,28.86,0.0,0
14,sse,dss,-113.46,-291.22,0.0,0
15,sse,is1,181.81,115.25,0.0,0
16,crps,sse,42.18,19.2,0.1,0
17,crps,crps,43.07,28.69,0.1,0
18,crps,dss,-124.26,-293.31,0.1,0
19,crps,is1,177.63,115.01,0.1,0
20,dss,sse,41.9,18.81,0.1,0
21,dss,crps,42.7,28.93,0.1,0
22,dss,dss,-126.0,-298.46,0.1,0
23,dss,is1,178.11,114.17,0.1,0
24,is1,sse,42.53,19.61,0.1,0
25,is1,crps,43.38,29.47,0.1,0
26,is1,dss,-140.04,-285.33,0.1,0
27,is1,is1,179.88,113.95,0.1,0
28,sse,sse,43.05,18.87,0.1,0
29,sse,crps,43.7,28.86,0.1,0
30,sse,dss,-113.46,-291.22,0.1,0
31,sse,is1,181.81,115.25,0.1,0
32,crps,sse,42.19,19.22,0.3,0
33,crps,crps,43.05,28.75,0.3,0
34,crps,dss,-124.18,-293.08,0.3,0
35,crps,is1,177.74,115.12,0.3,0
36,dss,sse,41.85,18.86,0.3,0
37,dss,crps,42.61,29.06,0.3,0
38,dss,dss,-126.44,-297.95,0.3,0
39,dss,is1,178.4,114.48,0.3,0
40,is1,sse,42.53,19.61,0.3,0
41,is1,crps,43.38,29.47,0.3,0
42,is1,dss,-140.04,-285.33,0.3,0
43,is1,is1,179.88,113.95,0.3,0
44,sse,sse,42.97,18.9,0.3,0
45,sse,crps,43.65,29.41,0.3,0
46,sse,dss,-117.82,-281.96,0.3,0
47,sse,is1,180.44,116.99,0.3,0
48,crps,sse,41.83,19.26,0.5,0
49,crps,crps,42.74,28.88,0.5,0
50,crps,dss,-127.72,-292.7,0.5,0
51,crps,is1,177.11,115.46,0.5,0
52,dss,sse,41.82,18.92,0.5,0
53,dss,crps,42.46,29.24,0.5,0
54,dss,dss,-126.8,-297.32,0.5,0
55,dss,is1,178.01,114.62,0.5,0
56,is1,sse,42.53,19.61,0.5,0
57,is1,crps,43.38,29.47,0.5,0
58,is1,dss,-140.04,-285.33,0.5,0
59,is1,is1,179.88,113.95,0.5,0
60,sse,sse,42.97,18.9,0.5,0
61,sse,crps,43.65,29.41,0.5,0
62,sse,dss,-117.82,-281.96,0.5,0
63,sse,is1,180.44,116.99,0.5,0
64,crps,sse,41.83,19.28,0.8,0
65,crps,crps,42.73,28.99,0.8,0
66,crps,dss,-128.16,-292.45,0.8,0
67,crps,is1,176.92,115.61,0.8,0
68,dss,sse,42.06,19.26,0.8,0
69,dss,crps,42.71,29.66,0.8,0
70,dss,dss,-124.37,-293.94,0.8,0
71,dss,is1,179.08,115.53,0.8,0
72,is1,sse,42.53,19.61,0.8,0
73,is1,crps,43.38,29.47,0.8,0
74,is1,dss,-140.04,-285.33,0.8,0
75,is1,is1,179.88,113.95,0.8,0
76,sse,sse,42.97,18.9,0.8,0
77,sse,crps,43.65,29.41,0.8,0
78,sse,dss,-117.82,-281.96,0.8,0
79,sse,is1,180.44,116.99,0.8,0
0,crps,sse,31.04,31.04,0.0,1
1,crps,crps,36.37,36.19,0.0,1
2,crps,dss,-216.15,-227.58,0.0,1
3,crps,is1,151.0,146.65,0.0,1
4,dss,sse,29.44,29.38,0.0,1
5,dss,crps,35.49,35.37,0.0,1
6,dss,dss,-218.55,-246.0,0.0,1
7,dss,is1,147.34,146.01,0.0,1
8,is1,sse,29.67,29.86,0.0,1
9,is1,crps,35.95,35.61,0.0,1
10,is1,dss,-208.07,-234.18,0.0,1
11,is1,is1,147.83,142.11,0.0,1
12,sse,sse,30.1,29.33,0.0,1
13,sse,crps,36.73,35.47,0.0,1
14,sse,dss,-210.43,-232.07,0.0,1
15,sse,is1,150.0,144.3,0.0,1
16,crps,sse,31.04,31.04,0.1,1
17,crps,crps,36.37,36.19,0.1,1
18,crps,dss,-216.15,-227.58,0.1,1
19,crps,is1,151.0,146.65,0.1,1
20,dss,sse,29.45,29.49,0.1,1
21,dss,crps,35.86,35.92,0.1,1
22,dss,dss,-211.64,-244.74,0.1,1
23,dss,is1,149.34,149.02,0.1,1
24,is1,sse,29.67,29.86,0.1,1
25,is1,crps,35.95,35.61,0.1,1
26,is1,dss,-208.07,-234.18,0.1,1
27,is1,is1,147.83,142.11,0.1,1
