,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,11704.12,7601.81,0.0,0
1,crps,crps,977.03,760.95,0.0,0
2,crps,dss,1441.75,1237.57,0.0,0
3,crps,is1,5464.21,4748.01,0.0,0
4,dss,sse,11314.51,8027.89,0.0,0
5,dss,crps,943.28,784.77,0.0,0
6,dss,dss,1406.79,1246.58,0.0,0
7,dss,is1,5351.1,4828.09,0.0,0
8,is1,sse,10899.71,7793.3,0.0,0
9,is1,crps,942.22,777.44,0.0,0
10,is1,dss,1441.7,1245.28,0.0,0
11,is1,is1,5268.1,4682.97,0.0,0
12,sse,sse,11688.24,7444.49,0.0,0
13,sse,crps,965.58,748.31,0.0,0
14,sse,dss,1412.77,1229.97,0.0,0
15,sse,is1,5400.01,4700.06,0.0,0
16,crps,sse,11696.65,7606.68,0.1,0
17,crps,crps,974.37,763.05,0.1,0
18,crps,dss,1434.45,1243.27,0.1,0
19,crps,is1,5452.23,4756.03,0.1,0
20,dss,sse,11304.19,8049.53,0.1,0
21,dss,crps,940.35,788.33,0.1,0
22,dss,dss,1394.01,1256.58,0.1,0
23,dss,is1,5350.1,4834.76,0.1,0
24,is1,sse,10767.11,8042.32,0.1,0
25,is1,crps,964.39,826.89,0.1,0
26,is1,dss,1628.83,1496.24,0.1,0
27,is1,is1,5300.1,4800.7,0.1,0
28,sse,sse,11423.59,7745.99,0.1,0
29,sse,crps,990.34,816.97,0.1,0
30,sse,dss,1649.01,1497.75,0.1,0
31,sse,is1,5380.67,4807.95,0.1,0
32,crps,sse,11423.59,7745.99,0.3,0
33,crps,crps,990.34,816.97,0.3,0
34,crps,dss,1649.01,1497.75,0.3,0
35,crps,is1,5380.67,4807.95,0.3,0
36,dss,sse,9787.63,9451.41,0.3,0
37,dss,crps,883.01,845.72,0.3,0
38,dss,dss,1370.59,1312.33,0.3,0
39,dss,is1,5309.99,5035.41,0.3,0
40,is1,sse,10767.11,8042.32,0.3,0
41,is1,crps,964.39,826.89,0.3,0
42,is1,dss,1628.83,1496.24,0.3,0
43,is1,is1,5300.1,4800.7,0.3,0
44,sse,sse,11423.59,7745.99,0.3,0
45,sse,crps,990.34,816.97,0.3,0
46,sse,dss,1649.01,1497.75,0.3,0
47,sse,is1,5380.67,4807.95,0.3,0
48,crps,sse,11423.59,7745.99,0.5,0
49,crps,crps,990.34,816.97,0.5,0
50,crps,dss,1649.01,1497.75,0.5,0
51,crps,is1,5380.67,4807.95,0.5,0
52,dss,sse,9787.63,9451.41,0.5,0
53,dss,crps,883.01,845.72,0.5,0
54,dss,dss,1370.59,1312.33,0.5,0
55,dss,is1,5309.99,5035.41,0.5,0
56,is1,sse,10515.2,8369.36,0.5,0
57,is1,crps,956.03,838.74,0.5,0
58,is1,dss,1611.97,1506.48,0.5,0
59,is1,is1,5264.56,4841.42,0.5,0
60,sse,sse,11423.59,7745.99,0.5,0
61,sse,crps,990.34,816.97,0.5,0
