,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,234.2,144.17,0.0,0
1,crps,crps,287.58,181.76,0.0,0
2,crps,dss,-1884.34,-1153.15,0.0,0
3,crps,is1,1161.8,742.38,0.0,0
4,dss,sse,233.89,143.2,0.0,0
5,dss,crps,288.74,181.86,0.0,0
6,dss,dss,-1890.47,-1157.18,0.0,0
7,dss,is1,1166.5,736.15,0.0,0
8,is1,sse,234.28,144.01,0.0,0
9,is1,crps,288.76,182.32,0.0,0
10,is1,dss,-1881.0,-1153.13,0.0,0
11,is1,is1,1161.56,741.75,0.0,0
12,sse,sse,231.42,144.67,0.0,0
13,sse,crps,285.27,182.11,0.0,0
14,sse,dss,-1904.26,-1147.62,0.0,0
15,sse,is1,1156.21,740.6,0.0,0
16,crps,sse,234.27,144.2,0.1,0
17,crps,crps,287.81,181.74,0.1,0
18,crps,dss,-1883.71,-1152.85,0.1,0
19,crps,is1,1162.5,742.47,0.1,0
20,dss,sse,235.4,143.63,0.1,0
21,dss,crps,290.59,181.77,0.1,0
22,dss,dss,-1874.04,-1160.7,0.1,0
23,dss,is1,1171.42,737.28,0.1,0
24,is1,sse,234.85,144.36,0.1,0
25,is1,crps,289.91,182.33,0.1,0
26,is1,dss,-1875.57,-1152.78,0.1,0
27,is1,is1,1166.88,741.51,0.1,0
28,sse,sse,232.61,144.34,0.1,0
29,sse,crps,286.82,181.71,0.1,0
30,sse,dss,-1889.07,-1159.57,0.1,0
31,sse,is1,1160.19,738.79,0.1,0
32,crps,sse,234.8,143.94,0.3,0
33,crps,crps,289.01,181.35,0.3,0
34,crps,dss,-1878.05,-1155.59,0.3,0
35,crps,is1,1166.78,739.28,0.3,0
36,dss,sse,235.4,143.63,0.3,0
37,dss,crps,290.59,181.77,0.3,0
38,dss,dss,-1874.04,-1160.7,0.3,0
39,dss,is1,1171.42,737.28,0.3,0
40,is1,sse,234.85,144.36,0.3,0
41,is1,crps,289.91,182.33,0.3,0
42,is1,dss,-1875.57,-1152.78,0.3,0
43,is1,is1,1166.88,741.51,0.3,0
44,sse,sse,234.55,144.7,0.3,0
45,sse,crps,292.26,184.05,0.3,0
46,sse,dss,-1855.68,-1148.59,0.3,0
47,sse,is1,1170.91,745.66,0.3,0
48,crps,sse,236.22,143.3,0.5,0
49,crps,crps,291.22,181.43,0.5,0
50,crps,dss,-1848.68,-1161.61,0.5,0
51,crps,is1,1175.13,734.76,0.5,0
52,dss,sse,243.28,146.92,0.5,0
53,dss,crps,309.13,191.79,0.5,0
54,dss,dss,-1770.62,-1121.03,0.5,0
55,dss,is1,1249.83,786.44,0.5,0
56,is1,sse,236.22,143.3,0.5,0
57,is1,crps,291.22,181.43,0.5,0
58,is1,dss,-1848.68,-1161.61,0.5,0
59,is1,is1,1175.13,734.76,0.5,0
60,sse,sse,234.55,144.7,0.5,0
61,sse,crps,292.26,184.05,0.5,0
62,sse,dss,-1855.68,-1148.59,0.5,0
63,sse,is1,1170.91,745.66,0.5,0
64,crps,sse,236.22,143.3,0.8,0
65,crps,crps,291.22,181.43,0.8,0
66,crps,dss,-1848.68,-1161.61,0.8,0
67,crps,is1,1175.13,734.76,0.8,0
68,dss,sse,243.28,146.92,0.8,0
69,dss,crps,309.13,191.79,0.8,0
70,dss,dss,-1770.62,-1121.03,0.8,0
71,dss,is1,1249.83,786.44,0.8,0
72,is1,sse,236.22,143.3,0.8,0
73,is1,crps,291.22,181.43,0.8,0
74,is1,dss,-1848.68,-1161.61,0.8,0
75,is1,is1,1175.13,734.76,0.8,0
76,sse,sse,241.3,148.84,0.8,0
77,sse,crps,311.37,195.31,0.8,0
78,sse,dss,-1741.03,-1075.92,0.8,0
79,sse,is1,1255.08,805.52,0.8,0
0,crps,sse,241.81,145.37,0.0,1
